Name Accession Chromosome Start End Strand Confidence
gma-MIR166a MI0001775 chr16 1934911 1935056 - -
gma-MIR166b MI0001776 chr8 282785 282951 - -
gma-MIR166c MI0017829 chr7 4502830 4502959 - -
gma-MIR166d MI0017830 chr20 44227240 44227349 - -
gma-MIR166e MI0017831 chr4 47978621 47978730 + -
gma-MIR166f MI0017832 chr10 41798829 41798938 + -
gma-MIR166g MI0017833 chr10 2913323 2913432 - -
gma-MIR166h MI0017834 chr8 14920990 14921179 + -
gma-MIR166i MI0018660 chr2 14544488 14544584 + -
gma-MIR166j MI0018661 chr15 3706979 3707146 - -
gma-MIR166k MI0019768 chr19 36827774 36827945 - -
gma-MIR166l MI0019780 chr6 45680685 45680863 - -
gma-MIR166m MI0019792 chr9 36469526 36469701 + -
gma-MIR166n MI0021690 chr5 38037266 38037408 - -
gma-MIR166o MI0021691 chr6 13019417 13019561 - -
gma-MIR166p MI0021692 chr3 37501582 37501703 - -
gma-MIR166q MI0021693 chr4 47978878 47979029 + -
gma-MIR166r MI0021694 KQ474607.1 1988 2142 - -
gma-MIR166s MI0021695 chr7 10246809 10246932 + -
gma-MIR166t MI0021696 chr9 39698809 39698944 - -
gma-MIR166u MI0021697 chr4 33862799 33862939 + -
gma-MIR167a MI0001777 chr19 42073549 42073667 + -
gma-MIR167b MI0001778 chr2 14838068 14838188 - -
gma-MIR167c MI0007210 chr7 39734580 39734954 + -
gma-MIR167d MI0010571 chr10 2648276 2648396 + -
gma-MIR167e MI0010725 chr20 39002092 39002200 + -
gma-MIR167f MI0010726 chr10 47144841 47144949 - -
gma-MIR167g MI0016548 chr10 39602156 39602233 + -
gma-MIR167h MI0017914 chr10 47144854 47144942 + -
gma-MIR167i MI0017926 chr20 39002038 39002188 - -
gma-MIR167j MI0018686 chr20 45890458 45890535 + -
gma-MIR167k MI0031050 chr2 307525 307604 - -
gma-MIR167l MI0033446 chr3 37301792 37301901 + -
gma-MIR168a MI0001779 chr9 44068673 44068797 - -
gma-MIR168b MI0017835 chr1 48944581 48944690 - -
gma-MIR169a MI0001791 chr9 38336014 38336134 + -
gma-MIR169b MI0007211 chr2 10504688 10504870 + -
gma-MIR169c MI0007212 chr9 5343659 5343773 + -
gma-MIR169d MI0016571 chr15 14186946 14187033 + -
gma-MIR169e MI0016576 chr15 14210033 14210152 + -
gma-MIR169f MI0017836 chr10 40892477 40892646 - -
gma-MIR169g MI0017837 chr17 4591798 4591927 - -
gma-MIR169h MI0017912 chr9 5330689 5330839 + -
gma-MIR169i MI0017918 chr13 21505359 21505509 + -
gma-MIR169j MI0018662 chr2 43801693 43801777 - -
gma-MIR169k MI0018663 chr9 5312564 5312668 + -
gma-MIR169l MI0018664 chr14 5435482 5435595 + -
gma-MIR169m MI0018665 chr13 21492366 21492488 + -
gma-MIR169n MI0018666 chr15 14166062 14166176 + -
gma-MIR169o MI0019751 chr13 21496986 21497084 + -
gma-MIR169p MI0019756 chr15 14192081 14192178 + -
gma-MIR169r MI0019762 chr17 4587059 4587161 - -
gma-MIR169s MI0019763 chr17 4594138 4594257 - -
gma-MIR169t MI0019778 chr5 38544108 38544233 + -
gma-MIR169u MI0019794 chr9 45847295 45847435 - -
gma-MIR169v MI0021699 chr13 15982021 15982322 - -
gma-MIR169w MI0033468 chr9 5348169 5348283 + -
gma-MIR171a MI0007213 chr12 8478656 8478757 + -
gma-MIR171b MI0007217 chr4 50115835 50115926 + -
gma-MIR171c MI0016575 chr7 43625963 43626066 - -
gma-MIR171d MI0017838 chr1 49981490 49981599 - -
gma-MIR171e MI0017839 chr5 38773113 38773202 - -
gma-MIR171f MI0017840 chr15 8505075 8505164 - -
gma-MIR171g MI0017841 chr16 5376139 5376228 - -
gma-MIR171h MI0017905 chr6 10887944 10888094 - -
gma-MIR171i MI0017907 chr6 49520830 49520980 - -
gma-MIR171j MI0018641 chr2 4065759 4065911 - -
gma-MIR171k MI0018667 chr13 27458231 27458328 + -
gma-MIR171l MI0018687 chr17 8830894 8830991 - -
gma-MIR171m MI0019745 chr12 8432426 8432558 + -
gma-MIR171n MI0019747 chr12 35463985 35464118 + -
gma-MIR171o MI0019749 chr13 31863180 31863281 + -
gma-MIR171p MI0019753 chr13 40504444 40504575 - -
gma-MIR171q MI0019760 chr17 1001169 1001277 + -
gma-MIR171r MI0019774 chr4 50116148 50116249 + -
gma-MIR171s MI0019779 chr6 10887673 10887774 - -
gma-MIR171t MI0019781 chr6 49564865 49564981 - -
gma-MIR171u MI0019785 chr8 923816 923917 - -
gma-MIR172a MI0001780 chr12 6139598 6139756 - -
gma-MIR172b MI0001781 chr13 41847312 41847464 - -
gma-MIR172c MI0010727 chr18 2979182 2979334 + -
gma-MIR172d MI0010728 chr14 5659819 5659968 + -
gma-MIR172e MI0010729 chr11 31482550 31482702 - -
gma-MIR172f MI0016574 chr11 26905395 26905527 + -
gma-MIR172g MI0018668 chr10 31996846 31996959 - -
gma-MIR172h MI0018669 chr10 44054389 44054479 + -
gma-MIR172i MI0018670 chr15 2892841 2893001 - -
gma-MIR172j MI0018671 chr20 42009499 42009588 - -
gma-MIR172k MI0019746 chr12 33517484 33517617 + -
gma-MIR172l MI0019750 chr13 43075243 43075420 + -
gma-MIR319a MI0001782 chr5 39506583 39506789 - -
gma-MIR319b MI0001783 chr8 1650575 1650782 - -
gma-MIR319c MI0001789 chr14 45231920 45232140 - -
gma-MIR319d MI0017842 chr15 40974346 40974535 - -
gma-MIR319e MI0017843 chr14 47276795 47276984 + -
gma-MIR319f MI0017844 chr10 48913063 48913157 - -
gma-MIR319g MI0018672 chr2 40809293 40809490 + -
gma-MIR319h MI0018673 chr2 42629369 42629554 + -
gma-MIR319i MI0018674 chr4 49476554 49476747 + -
gma-MIR319j MI0018675 chr11 1382971 1383149 + -
gma-MIR319k MI0018676 chr11 28073920 28074105 + -
gma-MIR319l MI0018677 chr17 9165413 9165514 - -
gma-MIR319m MI0018678 chr18 4298047 4298236 - -
gma-MIR319n MI0019752 chr13 28262485 28262580 - -
gma-MIR319o MI0031039 chr6 11459824 11460018 - -
gma-MIR319p MI0031041 chr6 22789766 22789844 + -
gma-MIR319q MI0031060     -
gma-MIR390a MI0007214 chr3 6398854 6398958 - -
gma-MIR390b MI0007215 chr14 46392430 46392532 + -
gma-MIR390c MI0017845 chr1 43181160 43181249 + -
gma-MIR390d MI0021700 chr2 41878692 41878788 + -
gma-MIR390e MI0021701 chr18 49001211 49001337 + -
gma-MIR390f MI0021702 chr11 15535991 15536093 - -
gma-MIR390g MI0021703 chr18 5065776 5065877 - -
gma-MIR391 MI0016521 chr13 42292832 42292941 + -
gma-MIR393a MI0007216 chr11 32101395 32101514 + -
gma-MIR393b MI0019715 chr1 42280842 42280957 - -
gma-MIR393c MI0021704 chr2 44047954 44048066 - -
gma-MIR393d MI0021705 chr10 25990586 25990708 - -
gma-MIR393e MI0021706 chr14 5137829 5137969 + -
gma-MIR393f MI0021707 chr18 2419300 2419417 - -
gma-MIR393g MI0021708 chr20 26105756 26105874 - -
gma-MIR393h MI0021709 chr9 34250214 34250360 + -
gma-MIR393i MI0021710 chr10 46430313 46430450 + -
gma-MIR393j MI0021711 chr16 34388224 34388377 + -
gma-MIR393k MI0021712 chr20 39779945 39780086 - -
gma-MIR394a MI0016582 chr17 41517111 41517267 + -
gma-MIR394b MI0016577 chr14 48784355 48784458 + -
gma-MIR394c MI0017846 chr4 1556919 1557028 - -
gma-MIR394d MI0019755 chr15 3785393 3785475 + -
gma-MIR394e MI0019775 chr5 36014286 36014396 + -
gma-MIR394f MI0019784 chr8 9871233 9871316 + -
gma-MIR394g MI0021713 chr6 1520278 1520357 - -
gma-MIR395a MI0018642 chr1 4840520 4840629 + -
gma-MIR395b MI0018643 chr2 1747330 1747424 - -
gma-MIR395c MI0018644 chr8 41475132 41475218 + -
gma-MIR395d MI0019788 chr8 41415505 41415625 - -
gma-MIR395e MI0019789 chr8 41424558 41424674 - -
gma-MIR395f MI0019790 chr8 41439069 41439190 - -
gma-MIR395g MI0019791 chr8 41445444 41445571 - -
gma-MIR395h MI0021714 chr1 4814429 4814541 - -
gma-MIR395i MI0021715 chr1 4819957 4820072 - -
gma-MIR395j MI0021716 chr1 4832871 4832996 - -
gma-MIR395k MI0021717 chr1 4835314 4835439 - -
gma-MIR395l MI0021718 chr2 1760207 1760340 + -
gma-MIR395m MI0021719 chr2 1774462 1774561 + -
gma-MIR396a MI0001785 chr13 27525230 27525369 - -
gma-MIR396b MI0001786 chr13 27517027 27517152 + -
gma-MIR396c MI0010572 chr13 45239131 45239247 + -
gma-MIR396d MI0016503 chr17 8782240 8782347 - -
gma-MIR396e MI0016586 chr17 35037484 35037597 - -
gma-MIR396f MI0017919 chr15 556336 556486 - -
gma-MIR396g MI0017921     -
gma-MIR396h MI0018679 chr14 13772743 13772890 + -
gma-MIR396i MI0018680 chr17 8774041 8774175 + -
gma-MIR396j MI0019759 chr16 31530670 31530803 - -
gma-MIR396k MI0019764     -
gma-MIR397a MI0018645 chr8 4644313 4644420 - -
gma-MIR397b MI0018646 chr13 35595158 35595279 - -
gma-MIR398a MI0001787 chr1 7214749 7214864 - -
gma-MIR398b MI0001788 chr2 11080996 11081130 - -
gma-MIR398c MI0017847 chr8 14229061 14229170 - -
gma-MIR398d MI0031005 chr2 46102354 46102462 + -
gma-MIR399a MI0019739 chr10 46844955 46845048 + -
gma-MIR399b MI0019758 chr16 36115809 36115909 + -
gma-MIR399c MI0019773 chr20 39360463 39360556 - -
gma-MIR399d MI0019776 chr5 35229349 35229451 - -
gma-MIR399e MI0019777 chr5 35238378 35238516 - -
gma-MIR399f MI0019786 chr8 9110335 9110442 - -
gma-MIR399g MI0019787 chr8 9118325 9118459 - -
gma-MIR399h MI0019796 chr9 36742439 36742552 + -
gma-MIR399i MI0031044 chr15 6566664 6566752 + -
gma-MIR399j MI0033456 chr5 35222145 35222245 + -
gma-MIR399k MI0033464 chr8 9106143 9106243 + -
gma-MIR399l MI0033470 chr9 36735539 36735666 + -
gma-MIR399m MI0033473 chr10 46849030 46849140 + -
gma-MIR399n MI0033500 chr16 36109955 36110082 + -
gma-MIR399o MI0033520 chr20 39357304 39357414 - -
gma-MIR403a MI0018631 chr2 1041992 1042080 + -
gma-MIR403b MI0018632 chr10 1080943 1081042 + -
gma-MIR408a MI0018647 chr2 837414 837546 + -
gma-MIR408b MI0018648 chr3 42619826 42619957 - -
gma-MIR408c MI0018649 chr10 37083961 37084086 - -
gma-MIR408d MI0017848 chr19 47281670 47281799 - -
gma-MIR482a MI0007218 chr2 7873063 7873157 + -
gma-MIR482b MI0016527 chr20 36454144 36454212 + -
gma-MIR482c MI0017851 chr18 57154765 57154854 - -
gma-MIR482d MI0018681 chr10 49165318 49165412 - -
gma-MIR482e MI0019772     -
gma-MIR530a MI0017852 chr12 33650621 33650770 + -
gma-MIR530b MI0019275 chr13 41761036 41761186 - -
gma-MIR530c MI0019742 chr11 26804548 26804754 - -
gma-MIR530d MI0019744 chr12 6225432 6225643 + -
gma-MIR530e MI0019754 chr13 41764574 41764770 - -
gma-MIR828a MI0019740 chr11 9052348 9052460 + -
gma-MIR828b MI0019743 chr12 3219162 3219271 + -
gma-MIR862a MI0017853 chr18 57326469 57326558 - -
gma-MIR862b MI0018623 chr8 47704165 47704250 + -
gma-MIR1446 MI0032968     -
gma-MIR1507a MI0007219 chr13 27036567 27036673 + -
gma-MIR1507b MI0010573 chr17 5926147 5926244 + -
gma-MIR1507c MI0017854 chr9 17134380 17134469 - -
gma-MIR1508a MI0007220 chr16 33378856 33378950 + -
gma-MIR1508b MI0010574     -
gma-MIR1508c MI0017855 chr9 31140427 31140516 + -
gma-MIR1509a MI0007221 chr17 9813056 9813166 + -
gma-MIR1509b MI0010730 chr5 1350441 1350549 + -
gma-MIR1510a MI0007222 chr16 31887382 31887474 + -
gma-MIR1510b MI0010575 chr2 6675723 6675816 + -
gma-MIR1511 MI0007223 chr18 20910835 20910933 + -
gma-MIR1512a MI0007224 chr18 56521611 56521705 + -
gma-MIR1512b MI0018682 chr2 8707970 8708058 - -
gma-MIR1512c MI0019270 chr2 8698923 8699026 - -
gma-MIR1513a MI0007225 chr7 43192197 43192289 + -
gma-MIR1513b MI0017856 chr20 223665 223734 - -
gma-MIR1513c MI0018683 chr17 1395193 1395283 - -
gma-MIR1514a MI0007226 chr7 43120760 43120858 - -
gma-MIR1514b MI0007227 chr17 1491521 1491629 + -
gma-MIR1515a MI0007228 chr1 49411416 49411560 + -
gma-MIR1515b MI0021720 chr11 6656792 6656932 - -
gma-MIR1516a MI0007229 chr3 45034824 45034934 + -
gma-MIR1516b MI0017911 chr9 2548521 2548671 - -
gma-MIR1516c MI0019723 chr4 40141067 40141189 + -
gma-MIR1516d MI0021721 chr8 46223096 46223202 - -
gma-MIR1517 MI0007230 chr14 43676665 43677061 + -
gma-MIR1518 MI0007231 chr9 7525122 7525259 + -
gma-MIR1519 MI0007232 chr7 11379900 11380166 + -
gma-MIR1520a MI0007235 chr14 17975535 17975684 - -
gma-MIR1520b MI0007243 chr20 41755528 41755656 - -
gma-MIR1520c MI0007252 chr17 37603731 37603870 + -
gma-MIR1520d MI0007233 chr7 124349 124459 - -
gma-MIR1520e MI0016484 chr17 17845222 17845385 - -
gma-MIR1520f MI0016485 chr2 17814168 17814270 - -
gma-MIR1520g MI0016486 chr12 32708631 32708738 - -
gma-MIR1520h MI0016496 chr6 15546820 15546906 + -
gma-MIR1520i MI0016498 chr3 34949369 34949512 - -
gma-MIR1520j MI0016504 chr11 5133814 5133989 - -
gma-MIR1520k MI0016532 chr19 5256979 5257106 + -
gma-MIR1520l MI0016533 chr18 51411526 51411635 + -
gma-MIR1520m MI0016534 chr4 9565785 9565912 - -
gma-MIR1520n MI0016536 chr14 47470517 47470612 + -
gma-MIR1520o MI0016537 chr17 13437941 13438133 + -
gma-MIR1520p MI0016563 chr11 4663268 4663406 + -
gma-MIR1520q MI0016573 chr8 13091468 13091583 - -
gma-MIR1520r MI0016554 chr19 49004957 49005071 - -
gma-MIR1521a MI0007236 chr11 12131319 12131508 - -
gma-MIR1521b MI0017915 chr11 12131454 12131604 + -
gma-MIR1522 MI0007237 chr4 13894953 13895140 + -
gma-MIR1523a MI0007240 chr2 12591029 12591123 - -
gma-MIR1523b MI0017902 chr2 12591024 12591174 + -
gma-MIR1524 MI0007241 chr8 3718555 3718890 + -
gma-MIR1525 MI0007242     -
gma-MIR1526 MI0007244 chr16 6139320 6139493 + -
gma-MIR1527 MI0007245     -
gma-MIR1528 MI0007246 chr8 4502473 4502737 - -
gma-MIR1529 MI0007248 chr1 54737797 54737997 - -
gma-MIR1530 MI0007249 chr10 41788173 41788321 + -
gma-MIR1531 MI0007250 chr20 41470544 41470658 + -
gma-MIR1532 MI0007251 chr13 43766192 43766343 + -
gma-MIR1533 MI0007253 chr20 47549866 47550005 - -
gma-MIR1534 MI0007254 chr6 37671785 37672027 - -
gma-MIR1535a MI0007257 chr19 43989978 43990073 + -
gma-MIR1535b MI0017857 chr19 43989927 43990016 - -
gma-MIR1536 MI0007234 chr15 44547119 44547359 - -
gma-MIR2107 MI0010576 chr1 10318510 10318563 - -
gma-MIR2108a MI0010577 chr17 23721868 23721925 + -
gma-MIR2108b MI0010578 chr5 19284064 19284130 + -
gma-MIR2109 MI0010579 chr4 36995886 36995956 - -
gma-MIR2111a MI0019269 chr1 33084345 33084452 + -
gma-MIR2111b MI0019765 chr18 45662001 45662084 - -
gma-MIR2111c MI0019766 chr18 45690335 45690493 - -
gma-MIR2111d MI0019769     -
gma-MIR2111e MI0019782 chr7 16470310 16470397 - -
gma-MIR2111f MI0019783 chr7 16494867 16494949 - -
gma-MIR2118a MI0017849 chr20 36443544 36443713 + -
gma-MIR2118b MI0017850 chr10 49169712 49169821 - -
gma-MIR2119 MI0010697 chr1 7214478 7214613 - -
gma-MIR2606a MI0019771 chr20 34012454 34012637 + -
gma-MIR2606b MI0019795 KQ474241.1 6816 6998 - -
gma-MIR3522 MI0018650 chr15 4337688 4337774 + -
gma-MIR4340 MI0016469 chr19 2095404 2095468 - -
gma-MIR4341 MI0016470 chr6 12004246 12004361 - -
gma-MIR4342 MI0016471 chr18 14013079 14013145 + -
gma-MIR4343a MI0016472 chr15 18637694 18637790 - -
gma-MIR4343b MI0016547 chr19 35003600 35003666 - -
gma-MIR4344 MI0016473 chr18 19606858 19606976 - -
gma-MIR4345 MI0016474 chr14 48700139 48700232 - -
gma-MIR4346 MI0016476     -
gma-MIR4347 MI0016477 chr15 12783164 12783304 + -
gma-MIR4348a MI0016478 chr12 37311016 37311160 - -
gma-MIR4348b MI0031006 chr13 38820668 38820890 + -
gma-MIR4348c MI0031051 chr2 10880344 10880466 + -
gma-MIR4348d MI0033432 chr1 6848789 6849112 + -
gma-MIR4349 MI0016479 chr19 44546410 44546567 + -
gma-MIR4350 MI0016480     -
gma-MIR4351 MI0016481     -
gma-MIR4352a MI0016482 chr10 24453395 24453530 + -
gma-MIR4352b MI0016517 chr14 13919818 13919987 + -
gma-MIR4353 MI0016483 chr6 51362622 51362680 - -
gma-MIR4354 MI0016487 chr9 42023868 42024017 + -
gma-MIR4355 MI0016488 chr18 1371151 1371310 - -
gma-MIR4356 MI0016489 chr3 34210830 34210909 + -
gma-MIR4357 MI0016490 chr16 25716585 25716759 - -
gma-MIR4358 MI0016491 chr6 3663700 3663865 - -
gma-MIR4359a MI0016492 chr1 42312667 42312778 - -
gma-MIR4359b MI0016494 chr7 16796162 16796228 + -
gma-MIR4360 MI0016493 chr4 6566470 6566549 - -
gma-MIR4361 MI0016497 chr16 15914012 15914074 + -
gma-MIR4362 MI0016499 chr13 36082340 36082537 + -
gma-MIR4363 MI0016500 chr17 19200043 19200157 + -
gma-MIR4364a MI0016501 chr13 2006154 2006264 + -
gma-MIR4364b MI0016475 chr18 46677081 46677183 + -
gma-MIR4365 MI0016505 chr10 11249866 11249961 - -
gma-MIR4366 MI0016506 chr5 29557157 29557418 - -
gma-MIR4367 MI0016507 chr1 2417160 2417384 + -
gma-MIR4368a MI0016508 chr18 55058212 55058299 - -
gma-MIR4368b MI0016510 chr2 39873834 39873978 + -
gma-MIR4369 MI0016511 chr7 13628703 13628781 - -
gma-MIR4370 MI0016512 chr11 28937222 28937287 + -
gma-MIR4371a MI0016514 chr17 4626871 4626998 + -
gma-MIR4371b MI0016515 chr7 24370816 24370998 - -
gma-MIR4371c MI0016509 chr5 2489793 2489939 - -
gma-MIR4372a MI0016516 chr10 49480492 49480612 - -
gma-MIR4372b MI0017923 chr18 51223300 51223450 + -
gma-MIR4373 MI0016518 chr17 6360081 6360184 - -
gma-MIR4374a MI0016519 chr1 42014046 42014212 - -
gma-MIR4374b MI0016523 chr18 44789134 44789239 + -
gma-MIR4374c MI0033472 chr9 35694869 35695069 - -
gma-MIR4375 MI0016520 chr9 38836079 38836146 - -
gma-MIR4377 MI0016522 chr4 17757695 17757862 + -
gma-MIR4378a MI0016524 chr10 44388201 44388363 - -
gma-MIR4378b MI0016525 chr9 31722886 31722976 - -
gma-MIR4379 MI0016526 chr7 1503356 1503439 - -
gma-MIR4380a MI0016502 chr1 39453514 39453666 - -
gma-MIR4380b MI0016528 chr19 4425779 4425854 + -
gma-MIR4381 MI0016529 chr15 47293543 47293680 - -
gma-MIR4382 MI0016530 chr6 18881198 18881368 + -
gma-MIR4383 MI0016531 chr2 26866450 26866576 + -
gma-MIR4384 MI0016535 chr12 9054935 9055000 + -
gma-MIR4385 MI0016538 chr20 25118846 25118941 - -
gma-MIR4386 MI0016539 chr7 1369485 1369539 + -
gma-MIR4387a MI0016540 KQ474119.1 490978 491089 + -
gma-MIR4387b MI0016513 chr7 4991373 4991484 + -
gma-MIR4387c MI0016495 chr7 16521619 16521750 + -
gma-MIR4387d MI0016542 chr18 43759747 43759852 - -
gma-MIR4387e MI0019276 chr3 23234500 23234621 + -
gma-MIR4388 MI0016541 chr10 46504519 46504678 - -
gma-MIR4389 MI0016543 chr13 32881750 32881896 - -
gma-MIR4390 MI0016544 chr17 15303731 15303796 + -
gma-MIR4391 MI0016545 chr1 22864160 22864278 + -
gma-MIR4392 MI0016546 chr9 49977292 49977401 + -
gma-MIR4392b MI0032970 chr20 156618 156767 - -
gma-MIR4393a MI0016549 chr10 1366374 1366509 - -
gma-MIR4393b MI0016558 chr1 49068990 49069101 - -
gma-MIR4394 MI0016550 chr10 20498009 20498098 - -
gma-MIR4395 MI0016551 chr2 33485031 33485139 + -
gma-MIR4396 MI0016552 chr18 3429421 3429478 - -
gma-MIR4397 MI0016553 chr4 38550859 38551015 - -
gma-MIR4398 MI0016555 chr1 44037488 44037552 + -
gma-MIR4399 MI0016556 chr3 23233443 23233593 + -
gma-MIR4400 MI0016557 chr20 1756046 1756202 + -
gma-MIR4401a MI0016560 chr14 28771219 28771334 + -
gma-MIR4401b MI0019273 chr10 14391631 14391732 + -
gma-MIR4402 MI0016561 chr20 44128634 44128808 - -
gma-MIR4403 MI0016562 chr4 665909 666012 + -
gma-MIR4404 MI0016564 chr13 20028554 20028615 - -
gma-MIR4405 MI0016565 chr6 9334440 9334565 + -
gma-MIR4405b MI0033454 chr4 22567095 22567243 + -
gma-MIR4406 MI0016566 chr1 40696309 40696432 + -
gma-MIR4407 MI0016567 chr20 47144592 47144722 + -
gma-MIR4408 MI0016568 chr8 28086876 28087016 + -
gma-MIR4409 MI0016569 chr16 5771195 5771255 - -
gma-MIR4410 MI0016570 chr5 810922 810992 - -
gma-MIR4411 MI0016572 chr1 12590615 12590670 + -
gma-MIR4412 MI0016578 chr4 37037465 37037552 - -
gma-MIR4413a MI0016579 chr19 1832822 1832908 + -
gma-MIR4413b MI0018684 chr13 16661157 16661224 - -
gma-MIR4414a MI0016583 chr20 36756848 36756975 + -
gma-MIR4414b MI0033480     -
gma-MIR4415a MI0016584 chr18 56193529 56193704 + -
gma-MIR4415b MI0018685 chr8 23061554 23061709 + -
gma-MIR4416a MI0016585 chr19 40891340 40891469 - -
gma-MIR4416b MI0019722 chr3 36067834 36067977 - -
gma-MIR4416c MI0019717 chr2 27334573 27334768 - -
gma-MIR4992 MI0017858 chr5 9413832 9413941 - -
gma-MIR4993 MI0017859 chr1 26214771 26214840 - -
gma-MIR4994 MI0017860 chr16 36093877 36093967 + -
gma-MIR4995 MI0017861 chr19 38252864 38252953 + -
gma-MIR4996 MI0017862 chr15 5437428 5437617 + -
gma-MIR4997 MI0017863     -
gma-MIR4997b MI0033483 chr4 24905205 24905295 + -
gma-MIR4998 MI0017864     -
gma-MIR5030 MI0017900 chr3 29448372 29448501 + -
gma-MIR5030b MI0032957 chr12 36078574 36078708 + -
gma-MIR5031 MI0017901 chr1 54737918 54738068 + -
gma-MIR5032 MI0017903 chr2 35292552 35292702 - -
gma-MIR5033 MI0017904 chr4 47362703 47362853 + -
gma-MIR5034 MI0017906 chr6 46560092 46560242 + -
gma-MIR5035 MI0017908 chr7 1959028 1959178 + -
gma-MIR5036 MI0017909 chr8 1774168 1774318 + -
gma-MIR5037a MI0017910 chr8 47688219 47688369 + -
gma-MIR5037b MI0018624 chr18 57328532 57328634 + -
gma-MIR5037c MI0018625 chr8 47698518 47698613 + -
gma-MIR5037d MI0019267 chr8 47682569 47682674 + -
gma-MIR5038a MI0017913 chr9 30857860 30858010 + -
gma-MIR5038b MI0018630     -
gma-MIR5039 MI0017916 chr12 32675496 32675646 + -
gma-MIR5040 MI0017917 chr12 37310768 37310918 - -
gma-MIR5041 MI0017920 chr16 30479426 30479576 + -
gma-MIR5042 MI0017922 chr18 10449468 10449618 + -
gma-MIR5043 MI0017924 chr20 46967498 46967648 + -
gma-MIR5044 MI0017925 chr18 57357782 57357932 - -
gma-MIR5225 MI0019714 chr19 1966719 1966831 + -
gma-MIR5368 MI0018621 chr4 23728083 23728251 + -
gma-MIR5369 MI0018622 chr11 16004196 16004310 - -
gma-MIR5370 MI0018626 chr14 6870104 6870256 + -
gma-MIR5371 MI0018627 chr15 34072242 34072464 + -
gma-MIR5372 MI0018628 chr16 5771324 5771388 - -
gma-MIR5373 MI0018629 chr16 28005409 28005463 + -
gma-MIR5374 MI0018633 chr5 12748029 12748248 - -
gma-MIR5375 MI0018634 chr16 2942348 2942538 + -
gma-MIR5376 MI0018635     -
gma-MIR5377 MI0018636 chr2 36745810 36745931 + -
gma-MIR5377b MI0033485 chr12 14993964 14994041 - -
gma-MIR5378 MI0018637     -
gma-MIR5379 MI0018638     -
gma-MIR5380a MI0018639 chr11 7797520 7797656 + -
gma-MIR5380b MI0018640 chr11 7831232 7831368 - -
