miRNA_locus_ID	miRNA_locus_accession	miRNA_family	Organism	Chromosome	Start	End	Strand
Gma-MIR159f	PmiREN006753	MIR159	Glycine max	Gma-Gm16	2794114	2794317	-
Gma-MIR159g	PmiREN006754	MIR159	Glycine max	Gma-Gm13	4315501	4315592	-
Gma-MIR159h	PmiREN006755	MIR159	Glycine max	Gma-Gm13	35265455	35265693	-
Gma-MIR159i	PmiREN006756	MIR159	Glycine max	Gma-Gm07	5371584	5371788	+
Gma-MIR160a	PmiREN006757	MIR160	Glycine max	Gma-Gm10	43851636	43851757	-
Gma-MIR160b	PmiREN006758	MIR160	Glycine max	Gma-Gm20	40554877	40554997	+
Gma-MIR160c	PmiREN006759	MIR160	Glycine max	Gma-Gm19	43795934	43796055	-
Gma-MIR160d	PmiREN006760	MIR160	Glycine max	Gma-Gm13	23749965	23750086	-
Gma-MIR160e	PmiREN006761	MIR160	Glycine max	Gma-Gm10	43706849	43706999	-
Gma-MIR160f	PmiREN006762	MIR160	Glycine max	Gma-Gm10	4733486	4733607	-
Gma-MIR160g	PmiREN006763	MIR160	Glycine max	Gma-Gm03	41268397	41268518	-
Gma-MIR160h	PmiREN006764	MIR160	Glycine max	Gma-Gm09	1261002	1261125	-
Gma-MIR160i	PmiREN006765	MIR160	Glycine max	Gma-Gm15	9547172	9547295	-
Gma-MIR162a	PmiREN006766	MIR162	Glycine max	Gma-Gm06	20176227	20176348	-
Gma-MIR162b	PmiREN006767	MIR162	Glycine max	Gma-Gm17	10181488	10181612	+
Gma-MIR162c	PmiREN006768	MIR162	Glycine max	Gma-Gm05	7692582	7692706	-
Gma-MIR164a	PmiREN006769	MIR164	Glycine max	Gma-Gm19	49560491	49560607	+
Gma-MIR164b	PmiREN006770	MIR164	Glycine max	Gma-Gm10	1553863	1553981	+
Gma-MIR164c	PmiREN006771	MIR164	Glycine max	Gma-Gm03	5291883	5292068	-
Gma-MIR164d	PmiREN006772	MIR164	Glycine max	Gma-Gm10	38093049	38093156	+
Gma-MIR164e	PmiREN006773	MIR164	Glycine max	Gma-Gm02	1511580	1511699	+
Gma-MIR164f	PmiREN006774	MIR164	Glycine max	Gma-Gm03	45537757	45537884	+
Gma-MIR164g	PmiREN006775	MIR164	Glycine max	Gma-Gm03	46896210	46896326	+
Gma-MIR164h	PmiREN006776	MIR164	Glycine max	Gma-Gm09	46253834	46254014	-
Gma-MIR164i	PmiREN006777	MIR164	Glycine max	Gma-Gm18	53778984	53779163	+
Gma-MIR164j	PmiREN006778	MIR164	Glycine max	Gma-Gm19	48157192	48157304	+
Gma-MIR164k	PmiREN006779	MIR164	Glycine max	Gma-Gm20	45788083	45788216	-
Gma-MIR164l	PmiREN006780	MIR164	Glycine max	Gma-Gm01	43367838	43368010	+
Gma-MIR165	PmiREN006781	MIR165	Glycine max	Gma-Gm01	33010555	33010806	-
Gma-MIR166a	PmiREN006782	MIR166	Glycine max	Gma-Gm16	1912569	1912713	-
Gma-MIR166b	PmiREN006783	MIR166	Glycine max	Gma-Gm08	282393	282554	-
Gma-MIR166c	PmiREN006784	MIR166	Glycine max	Gma-Gm07	4453642	4453786	-
Gma-MIR166d	PmiREN006785	MIR166	Glycine max	Gma-Gm20	43105383	43105507	-
Gma-MIR166e	PmiREN006803	MIR166	Glycine max	Gma-Gm04	44849928	44850037	+
Gma-MIR166f	PmiREN006787	MIR166	Glycine max	Gma-Gm10	41243355	41243476	+
Gma-MIR166g	PmiREN006788	MIR166	Glycine max	Gma-Gm10	2905308	2905432	-
Gma-MIR166h	PmiREN006789	MIR166	Glycine max	Gma-Gm08	14990537	14990743	+
Gma-MIR166i	PmiREN006790	MIR166	Glycine max	Gma-Gm02	14340754	14340878	+
Gma-MIR166j	PmiREN006791	MIR166	Glycine max	Gma-Gm15	3688750	3688943	-
Gma-MIR166k	PmiREN006792	MIR166	Glycine max	Gma-Gm19	36649680	36649869	-
Gma-MIR166l	PmiREN006793	MIR166	Glycine max	Gma-Gm06	45111035	45111286	-
Gma-MIR166m	PmiREN006794	MIR166	Glycine max	Gma-Gm09	33908878	33909043	+
Gma-MIR166n	PmiREN006795	MIR166	Glycine max	Gma-Gm05	37747153	37747316	-
Gma-MIR166o	PmiREN006796	MIR166	Glycine max	Gma-Gm06	12992805	12992970	-
Gma-MIR166p	PmiREN006797	MIR166	Glycine max	Gma-Gm03	39519820	39519962	-
Gma-MIR166q	PmiREN006798	MIR166	Glycine max	Gma-Gm04	44850180	44850344	+
Gma-MIR166r	PmiREN006799	MIR166	Glycine max	Gma-Gm06	10985721	10985894	+
Gma-MIR166s	PmiREN006800	MIR166	Glycine max	Gma-Gm07	10198816	10198952	+
Gma-MIR166t	PmiREN006801	MIR166	Glycine max	Gma-Gm09	37125213	37125369	-
Gma-MIR166u	PmiREN006802	MIR166	Glycine max	Gma-Gm04	25372866	25373025	+
Gma-MIR166v	PmiREN006786	MIR166	Glycine max	Gma-Gm01	26215695	26215855	-
Gma-MIR166w	PmiREN006804	MIR166	Glycine max	Gma-Gm16	3661363	3661624	+
Gma-MIR167a	PmiREN006805	MIR167	Glycine max	Gma-Gm19	41871231	41871352	+
Gma-MIR167b	PmiREN006806	MIR167	Glycine max	Gma-Gm02	14635611	14635734	-
Gma-MIR167c	PmiREN006812	MIR167	Glycine max	Gma-Gm02	307511	307621	-
Gma-MIR167d	PmiREN006807	MIR167	Glycine max	Gma-Gm10	2640270	2640393	+
Gma-MIR167e	PmiREN006808	MIR167	Glycine max	Gma-Gm20	37901894	37902003	+
Gma-MIR167f	PmiREN006809	MIR167	Glycine max	Gma-Gm10	46574251	46574360	-
Gma-MIR167g	PmiREN006810	MIR167	Glycine max	Gma-Gm20	44765083	44765188	+
Gma-MIR167h	PmiREN006811	MIR167	Glycine max	Gma-Gm10	39044864	39044969	+
Gma-MIR167i	PmiREN006813	MIR167	Glycine max	Gma-Gm03	39319054	39319185	+
Gma-MIR168a	PmiREN006814	MIR168	Glycine max	Gma-Gm09	41353223	41353352	-
Gma-MIR168b	PmiREN006815	MIR168	Glycine max	Gma-Gm01	48070300	48070429	-
Gma-MIR169a	PmiREN006816	MIR169	Glycine max	Gma-Gm09	35771804	35771927	+
Gma-MIR169b	PmiREN006819	MIR169	Glycine max	Gma-Gm02	10422853	10423058	+
Gma-MIR169c	PmiREN006820	MIR169	Glycine max	Gma-Gm09	5295079	5295216	+
Gma-MIR169d	PmiREN006821	MIR169	Glycine max	Gma-Gm15	14171015	14171112	+
Gma-MIR169e	PmiREN006822	MIR169	Glycine max	Gma-Gm15	14194120	14194217	+
Gma-MIR169f	PmiREN006823	MIR169	Glycine max	Gma-Gm10	40332781	40332933	-
Gma-MIR169g	PmiREN006824	MIR169	Glycine max	Gma-Gm17	4861813	4861964	-
Gma-MIR169h	PmiREN006825	MIR169	Glycine max	Gma-Gm09	5282108	5282217	+
Gma-MIR169i	PmiREN006826	MIR169	Glycine max	Gma-Gm13	355469	355587	-
Gma-MIR169j	PmiREN006827	MIR169	Glycine max	Gma-Gm02	46876622	46876746	-
Gma-MIR169k	PmiREN006828	MIR169	Glycine max	Gma-Gm09	5263982	5264108	+
Gma-MIR169l	PmiREN006829	MIR169	Glycine max	Gma-Gm14	5324788	5324923	+
Gma-MIR169m	PmiREN006830	MIR169	Glycine max	Gma-Gm13	368431	368571	-
Gma-MIR169n	PmiREN006831	MIR169	Glycine max	Gma-Gm15	14150055	14150199	+
Gma-MIR169o	PmiREN006832	MIR169	Glycine max	Gma-Gm13	363833	363953	-
Gma-MIR169p	PmiREN006833	MIR169	Glycine max	Gma-Gm15	14176145	14176264	+
Gma-MIR169q	PmiREN006817	MIR169	Glycine max	Gma-Gm15	14202444	14202580	+
Gma-MIR169r	PmiREN006835	MIR169	Glycine max	Gma-Gm17	4857074	4857198	-
Gma-MIR169s	PmiREN006836	MIR169	Glycine max	Gma-Gm17	4864155	4864293	-
Gma-MIR169t	PmiREN006837	MIR169	Glycine max	Gma-Gm05	41794115	41794263	-
Gma-MIR169u	PmiREN006838	MIR169	Glycine max	Gma-Gm09	42642463	42642625	-
Gma-MIR169v	PmiREN006843	MIR169	Glycine max	Gma-Gm13	5838675	5838976	+
Gma-MIR169w	PmiREN006840	MIR169	Glycine max	Gma-Gm09	5299586	5299728	+
Gma-MIR169x	PmiREN006818	MIR169	Glycine max	Gma-Gm09	5287903	5288006	+
Gma-MIR169y	PmiREN006834	MIR169	Glycine max	Gma-Gm09	5285245	5285354	+
Gma-MIR169z	PmiREN006839	MIR169	Glycine max	Gma-Gm15	14188505	14188614	+
Gma-MIR169aa	PmiREN006841	MIR169	Glycine max	Gma-Gm15	14191180	14191295	+
Gma-MIR169ab	PmiREN006842	MIR169	Glycine max	Gma-Gm15	14197487	14197624	+
Gma-MIR171a	PmiREN006844	MIR171	Glycine max	Gma-Gm12	8443093	8443217	+
Gma-MIR171b	PmiREN006845	MIR171	Glycine max	Gma-Gm04	46988569	46988680	+
Gma-MIR171c	PmiREN006846	MIR171	Glycine max	Gma-Gm07	43679640	43679757	-
Gma-MIR171d	PmiREN006847	MIR171	Glycine max	Gma-Gm01	49100248	49100377	-
Gma-MIR171e	PmiREN006848	MIR171	Glycine max	Gma-Gm05	41564645	41564756	+
Gma-MIR171f	PmiREN006849	MIR171	Glycine max	Gma-Gm15	8464103	8464218	-
Gma-MIR171g	PmiREN006850	MIR171	Glycine max	Gma-Gm16	5347825	5347942	-
Gma-MIR171h	PmiREN006851	MIR171	Glycine max	Gma-Gm06	10859603	10859714	-
Gma-MIR171i	PmiREN006852	MIR171	Glycine max	Gma-Gm06	48920610	48920734	-
Gma-MIR171j	PmiREN006853	MIR171	Glycine max	Gma-Gm02	4013996	4014155	-
Gma-MIR171k	PmiREN006854	MIR171	Glycine max	Gma-Gm17	9101686	9101811	-
Gma-MIR171l	PmiREN006855	MIR171	Glycine max	Gma-Gm13	26271122	26271247	+
Gma-MIR171m	PmiREN006856	MIR171	Glycine max	Gma-Gm12	8398822	8398944	+
Gma-MIR171n	PmiREN006857	MIR171	Glycine max	Gma-Gm12	35489079	35489202	+
Gma-MIR171o	PmiREN006858	MIR171	Glycine max	Gma-Gm13	30650784	30650899	+
Gma-MIR171p	PmiREN006859	MIR171	Glycine max	Gma-Gm13	39325485	39325608	-
Gma-MIR171q	PmiREN006860	MIR171	Glycine max	Gma-Gm17	1007454	1007571	+
Gma-MIR171r	PmiREN006861	MIR171	Glycine max	Gma-Gm04	46988885	46989003	+
Gma-MIR171s	PmiREN006862	MIR171	Glycine max	Gma-Gm06	10859280	10859398	-
Gma-MIR171t	PmiREN006863	MIR171	Glycine max	Gma-Gm06	48964764	48964885	-
Gma-MIR171u	PmiREN006864	MIR171	Glycine max	Gma-Gm08	921786	921909	-
Gma-MIR171v	PmiREN006865	MIR171	Glycine max	Gma-Gm16	26603357	26603533	+
Gma-MIR172a	PmiREN006866	MIR172	Glycine max	Gma-Gm12	6110703	6110860	-
Gma-MIR172b	PmiREN006867	MIR172	Glycine max	Gma-Gm13	40401672	40401823	-
Gma-MIR172c	PmiREN006868	MIR172	Glycine max	Gma-Gm18	2968988	2969139	+
Gma-MIR172d	PmiREN006869	MIR172	Glycine max	Gma-Gm14	5548754	5548902	+
Gma-MIR172e	PmiREN006870	MIR172	Glycine max	Gma-Gm11	35957807	35957958	-
Gma-MIR172f	PmiREN006871	MIR172	Glycine max	Gma-Gm11	16934072	16934234	+
Gma-MIR172g	PmiREN006872	MIR172	Glycine max	Gma-Gm10	31592560	31592703	-
Gma-MIR172h	PmiREN006873	MIR172	Glycine max	Gma-Gm10	43474719	43474839	+
Gma-MIR172i	PmiREN006874	MIR172	Glycine max	Gma-Gm15	2892947	2893135	-
Gma-MIR172j	PmiREN006875	MIR172	Glycine max	Gma-Gm20	40895731	40895850	-
Gma-MIR172k	PmiREN006876	MIR172	Glycine max	Gma-Gm12	33560613	33560764	+
Gma-MIR172l	PmiREN006877	MIR172	Glycine max	Gma-Gm13	41635461	41635654	+
Gma-MIR319a	PmiREN006891	MIR319	Glycine max	Gma-Gm05	40832085	40832292	+
Gma-MIR319b	PmiREN006892	MIR319	Glycine max	Gma-Gm08	1647796	1648004	-
Gma-MIR319c	PmiREN006893	MIR319	Glycine max	Gma-Gm14	45953429	45953652	-
Gma-MIR319d	PmiREN006894	MIR319	Glycine max	Gma-Gm15	40230205	40230418	-
Gma-MIR319e	PmiREN006895	MIR319	Glycine max	Gma-Gm14	47959338	47959549	+
Gma-MIR319f	PmiREN006896	MIR319	Glycine max	Gma-Gm10	48317407	48317561	-
Gma-MIR319g	PmiREN006897	MIR319	Glycine max	Gma-Gm02	43885392	43885602	+
Gma-MIR319h	PmiREN006898	MIR319	Glycine max	Gma-Gm02	45704215	45704426	+
Gma-MIR319i	PmiREN006899	MIR319	Glycine max	Gma-Gm04	46348788	46349003	+
Gma-MIR319j	PmiREN006900	MIR319	Glycine max	Gma-Gm11	1374008	1374212	+
Gma-MIR319k	PmiREN006901	MIR319	Glycine max	Gma-Gm11	32902051	32902260	+
Gma-MIR319l	PmiREN006902	MIR319	Glycine max	Gma-Gm17	9436173	9436281	-
Gma-MIR319m	PmiREN006903	MIR319	Glycine max	Gma-Gm18	4278872	4279081	-
Gma-MIR319n	PmiREN006904	MIR319	Glycine max	Gma-Gm13	27068579	27068684	-
Gma-MIR319o	PmiREN006905	MIR319	Glycine max	Gma-Gm06	11433530	11433751	-
Gma-MIR319p	PmiREN006906	MIR319	Glycine max	Gma-Gm06	22581684	22581791	+
Gma-MIR390a	PmiREN006908	MIR390	Glycine max	Gma-Gm03	6558172	6558289	-
Gma-MIR390b	PmiREN006909	MIR390	Glycine max	Gma-Gm14	47097966	47098090	+
Gma-MIR390c	PmiREN006910	MIR390	Glycine max	Gma-Gm01	42335605	42335722	+
Gma-MIR390d	PmiREN006911	MIR390	Glycine max	Gma-Gm02	44954748	44954865	+
Gma-MIR390e	PmiREN006912	MIR390	Glycine max	Gma-Gm18	53278026	53278171	+
Gma-MIR390f	PmiREN006913	MIR390	Glycine max	Gma-Gm11	30272752	30272868	+
Gma-MIR390g	PmiREN006914	MIR390	Glycine max	Gma-Gm18	5047758	5047875	-
Gma-MIR391	PmiREN006915	MIR391	Glycine max	Gma-Gm13	40845915	40846046	+
Gma-MIR393a	PmiREN006916	MIR393	Glycine max	Gma-Gm11	36567510	36567651	+
Gma-MIR393b	PmiREN006917	MIR393	Glycine max	Gma-Gm01	41428817	41428956	-
Gma-MIR393c	PmiREN006918	MIR393	Glycine max	Gma-Gm02	47136193	47136328	-
Gma-MIR393d	PmiREN006919	MIR393	Glycine max	Gma-Gm10	16966540	16966681	+
Gma-MIR393e	PmiREN006920	MIR393	Glycine max	Gma-Gm14	5053410	5053573	+
Gma-MIR393f	PmiREN006921	MIR393	Glycine max	Gma-Gm18	2409730	2409870	-
Gma-MIR393g	PmiREN006922	MIR393	Glycine max	Gma-Gm20	24956232	24956373	-
Gma-MIR393h	PmiREN006923	MIR393	Glycine max	Gma-Gm09	31624524	31624685	+
Gma-MIR393i	PmiREN006924	MIR393	Glycine max	Gma-Gm10	45859029	45859183	+
Gma-MIR393j	PmiREN006925	MIR393	Glycine max	Gma-Gm16	33891064	33891232	+
Gma-MIR393k	PmiREN006926	MIR393	Glycine max	Gma-Gm20	38670371	38670527	-
Gma-MIR394a	PmiREN006927	MIR394	Glycine max	Gma-Gm17	41783765	41783886	+
Gma-MIR394b	PmiREN006928	MIR394	Glycine max	Gma-Gm14	48984869	48984989	-
Gma-MIR394c	PmiREN006929	MIR394	Glycine max	Gma-Gm04	1508861	1508998	-
Gma-MIR394d	PmiREN006930	MIR394	Glycine max	Gma-Gm15	3767168	3767269	+
Gma-MIR394e	PmiREN006931	MIR394	Glycine max	Gma-Gm05	35743172	35743303	+
Gma-MIR394f	PmiREN006932	MIR394	Glycine max	Gma-Gm08	9880064	9880168	+
Gma-MIR394g	PmiREN006933	MIR394	Glycine max	Gma-Gm06	1502446	1502552	-
Gma-MIR395a	PmiREN006934	MIR395	Glycine max	Gma-Gm01	4818576	4818697	+
Gma-MIR395b	PmiREN006935	MIR395	Glycine max	Gma-Gm02	1723435	1723556	-
Gma-MIR395c	PmiREN006936	MIR395	Glycine max	Gma-Gm08	40840211	40840329	+
Gma-MIR395d	PmiREN006937	MIR395	Glycine max	Gma-Gm08	40780623	40780761	-
Gma-MIR395e	PmiREN006938	MIR395	Glycine max	Gma-Gm08	40789496	40789736	-
Gma-MIR395f	PmiREN006939	MIR395	Glycine max	Gma-Gm08	40804187	40804326	-
Gma-MIR395g	PmiREN006940	MIR395	Glycine max	Gma-Gm08	40810562	40810706	-
Gma-MIR395h	PmiREN006941	MIR395	Glycine max	Gma-Gm08	40812322	40812445	+
Gma-MIR395i	PmiREN006942	MIR395	Glycine max	Gma-Gm01	4797895	4798020	-
Gma-MIR395j	PmiREN006943	MIR395	Glycine max	Gma-Gm01	4810809	4810943	-
Gma-MIR395k	PmiREN006944	MIR395	Glycine max	Gma-Gm01	4813252	4813387	-
Gma-MIR395l	PmiREN006945	MIR395	Glycine max	Gma-Gm02	1736328	1736468	+
Gma-MIR395m	PmiREN006946	MIR395	Glycine max	Gma-Gm02	1750583	1750689	+
Gma-MIR395n	PmiREN006947	MIR395	Glycine max	Gma-Gm18	16305073	16305189	-
Gma-MIR395o	PmiREN006948	MIR395	Glycine max	Gma-Gm18	16316060	16316180	-
Gma-MIR395p	PmiREN006949	MIR395	Glycine max	Gma-Gm18	16394357	16394489	-
Gma-MIR395q	PmiREN006950	MIR395	Glycine max	Gma-Gm02	1770197	1770332	+
Gma-MIR395r	PmiREN006951	MIR395	Glycine max	Gma-Gm01	4788411	4788549	-
Gma-MIR395s	PmiREN006952	MIR395	Glycine max	Gma-Gm02	1766455	1766592	+
Gma-MIR395t	PmiREN006953	MIR395	Glycine max	Gma-Gm01	4760430	4760558	-
Gma-MIR395u	PmiREN006954	MIR395	Glycine max	Gma-Gm02	1759301	1759424	+
Gma-MIR395v	PmiREN006955	MIR395	Glycine max	Gma-Gm02	1772397	1772530	+
Gma-MIR395w	PmiREN006956	MIR395	Glycine max	Gma-Gm08	40838520	40838647	-
Gma-MIR396a	PmiREN006957	MIR396	Glycine max	Gma-Gm13	26338131	26338273	-
Gma-MIR396b	PmiREN006958	MIR396	Glycine max	Gma-Gm13	26329931	26330059	+
Gma-MIR396c	PmiREN006959	MIR396	Glycine max	Gma-Gm13	43804777	43804893	+
Gma-MIR396d	PmiREN006960	MIR396	Glycine max	Gma-Gm17	9053038	9053166	-
Gma-MIR396e	PmiREN006961	MIR396	Glycine max	Gma-Gm17	35366529	35366672	-
Gma-MIR396f	PmiREN006962	MIR396	Glycine max	Gma-Gm15	556690	556806	-
Gma-MIR396g	PmiREN006963	MIR396	Glycine max	Gma-Gm04	5396122	5396250	-
Gma-MIR396h	PmiREN006964	MIR396	Glycine max	Gma-Gm14	13971419	13971566	+
Gma-MIR396i	PmiREN006965	MIR396	Glycine max	Gma-Gm17	9044847	9044989	+
Gma-MIR396j	PmiREN006966	MIR396	Glycine max	Gma-Gm16	31162180	31162330	-
Gma-MIR396k	PmiREN006967	MIR396	Glycine max	Gma-Gm14	19876769	19876910	+
Gma-MIR397a	PmiREN006968	MIR397	Glycine max	Gma-Gm08	4639033	4639164	-
Gma-MIR397b	PmiREN006969	MIR397	Glycine max	Gma-Gm13	34382986	34383131	-
Gma-MIR397c	PmiREN006970	MIR397	Glycine max	Gma-Gm07	17400660	17400769	-
Gma-MIR397d	PmiREN006971	MIR397	Glycine max	Gma-Gm07	35780887	35781018	+
Gma-MIR398a	PmiREN006972	MIR398	Glycine max	Gma-Gm01	7195760	7195888	-
Gma-MIR398b	PmiREN006973	MIR398	Glycine max	Gma-Gm02	10988433	10988564	-
Gma-MIR398c	PmiREN006974	MIR398	Glycine max	Gma-Gm08	14299237	14299369	-
Gma-MIR398d	PmiREN006975	MIR398	Glycine max	Gma-Gm02	49179998	49180133	+
Gma-MIR398e	PmiREN006976	MIR398	Glycine max	Gma-Gm14	2694342	2694480	-
Gma-MIR399a	PmiREN006977	MIR399	Glycine max	Gma-Gm10	46275304	46275415	+
Gma-MIR399b	PmiREN006978	MIR399	Glycine max	Gma-Gm16	35612502	35612619	+
Gma-MIR399c	PmiREN006979	MIR399	Glycine max	Gma-Gm20	38251177	38251288	-
Gma-MIR399d	PmiREN006995	MIR399	Glycine max	Gma-Gm05	34958620	34958722	-
Gma-MIR399e	PmiREN006981	MIR399	Glycine max	Gma-Gm05	34967642	34967778	-
Gma-MIR399f	PmiREN006982	MIR399	Glycine max	Gma-Gm08	9118500	9118624	-
Gma-MIR399g	PmiREN006983	MIR399	Glycine max	Gma-Gm08	9126508	9126640	-
Gma-MIR399h	PmiREN006984	MIR399	Glycine max	Gma-Gm09	34181514	34181644	+
Gma-MIR399i	PmiREN006985	MIR399	Glycine max	Gma-Gm15	6547376	6547491	+
Gma-MIR399j	PmiREN006986	MIR399	Glycine max	Gma-Gm05	34951412	34951529	+
Gma-MIR399k	PmiREN006987	MIR399	Glycine max	Gma-Gm08	9114311	9114428	+
Gma-MIR399l	PmiREN006988	MIR399	Glycine max	Gma-Gm09	34174613	34174758	+
Gma-MIR399m	PmiREN006989	MIR399	Glycine max	Gma-Gm10	46279377	46279509	+
Gma-MIR399n	PmiREN006990	MIR399	Glycine max	Gma-Gm16	35606649	35606792	+
Gma-MIR399o	PmiREN006991	MIR399	Glycine max	Gma-Gm20	38248016	38248148	-
Gma-MIR399p	PmiREN006980	MIR399	Glycine max	Gma-Gm05	34963165	34963300	-
Gma-MIR399q	PmiREN006992	MIR399	Glycine max	Gma-Gm08	9122905	9123049	-
Gma-MIR399r	PmiREN006993	MIR399	Glycine max	Gma-Gm17	10900677	10900795	+
Gma-MIR399s	PmiREN006994	MIR399	Glycine max	Gma-Gm08	9112026	9112150	-
Gma-MIR403a	PmiREN006996	MIR403	Glycine max	Gma-Gm02	1041984	1042098	+
Gma-MIR403b	PmiREN006997	MIR403	Glycine max	Gma-Gm10	1085222	1085326	+
Gma-MIR408a	PmiREN006998	MIR408	Glycine max	Gma-Gm02	837411	837560	+
Gma-MIR408b	PmiREN006999	MIR408	Glycine max	Gma-Gm03	44626682	44626838	-
Gma-MIR408c	PmiREN007000	MIR408	Glycine max	Gma-Gm10	36556991	36557142	-
Gma-MIR408d	PmiREN007001	MIR408	Glycine max	Gma-Gm19	47163674	47163830	-
Gma-MIR477	PmiREN007057	MIR477	Glycine max	Gma-Gm18	61663246	61663372	+
Gma-MIR482a	PmiREN007058	MIR482	Glycine max	Gma-Gm02	7783811	7783923	+
Gma-MIR482b	PmiREN007059	MIR482	Glycine max	Gma-Gm20	35360307	35360413	+
Gma-MIR482c	PmiREN007060	MIR482	Glycine max	Gma-Gm18	61452897	61453007	-
Gma-MIR482d	PmiREN007061	MIR482	Glycine max	Gma-Gm10	48569622	48569728	-
Gma-MIR530a	PmiREN007085	MIR530	Glycine max	Gma-Gm12	33689543	33689717	+
Gma-MIR530b	PmiREN007086	MIR530	Glycine max	Gma-Gm13	40315627	40315799	-
Gma-MIR530c	PmiREN007087	MIR530	Glycine max	Gma-Gm11	16833245	16833441	-
Gma-MIR530d	PmiREN007088	MIR530	Glycine max	Gma-Gm12	6196543	6196744	+
Gma-MIR530e	PmiREN007089	MIR530	Glycine max	Gma-Gm13	40319182	40319368	-
Gma-MIR530f	PmiREN007090	MIR530	Glycine max	Gma-Gm12	33696244	33696378	+
Gma-MIR828a	PmiREN007141	MIR828	Glycine max	Gma-Gm11	9033023	9033157	+
Gma-MIR828b	PmiREN007142	MIR828	Glycine max	Gma-Gm12	3213754	3213885	+
Gma-MIR862a	PmiREN007144	MIR862	Glycine max	Gma-Gm18	61624595	61624704	-
Gma-MIR862b	PmiREN007145	MIR862	Glycine max	Gma-Gm08	46853888	46854011	+
Gma-MIR1446a	PmiREN006684	MIR1446	Glycine max	Gma-Gm08	521645	521781	-
Gma-MIR1446b	PmiREN006685	MIR1446	Glycine max	Gma-Gm05	38034996	38035114	-
Gma-MIR1507a	PmiREN006686	MIR1507	Glycine max	Gma-Gm13	25849768	25849893	+
Gma-MIR1507b	PmiREN006687	MIR1507	Glycine max	Gma-Gm17	6190591	6190716	+
Gma-MIR1507c	PmiREN006688	MIR1507	Glycine max	Gma-Gm09	16565920	16566038	-
Gma-MIR1508a	PmiREN006689	MIR1508	Glycine max	Gma-Gm16	32903729	32903841	+
