Pair_type	miRNA_loci	Canonical_miRNA_ID	Canonical_Seq_ID	Chr	H_start	H_end	Strand	miRNA_A	Seq_ID_A	miRNA_B	Seq_ID_B	Pearson_r	Pearson_p	Library_Jaccard	Shared_libraries	Union_libraries	Libraries_A	Libraries_B
canonical-isomiR	Gma-MIR12214a	Gma-MIR12214a	miR717_R8_L22	16	30393192	30393252	-	Gma-MIR12214a	miR717_R8_L22	Gma-MIR12214a.v2	miR743_R7_L21	-0.05178815843712792	0.8870167509603082	0.0	0	15	8	7
isomiR-isomiR	Gma-MIR12214a	Gma-MIR12214a	miR717_R8_L22	16	30393192	30393252	-	Gma-MIR12214a.v1	miR268_R45_L22	Gma-MIR12214a.v2	miR743_R7_L21	-0.12989486174277418	0.7206009358950112	0.0	0	52	45	7
canonical-isomiR	Gma-MIR12367b	Gma-MIR12367b	miR351_R28_L22	17	36950626	36950748	+	Gma-MIR12367b	miR351_R28_L22	Gma-MIR12367b.v1	miR311_R35_L22	-0.12199705992657095	0.7370679686601781	0.0	0	63	28	35
canonical-isomiR	Gma-MIR12376a	Gma-MIR12376a	miR334_R31_L22	4	35719466	35719522	+	Gma-MIR12376a	miR334_R31_L22	Gma-MIR12376a.v1	miR908_R5_L21	0.0050071122269821355	0.989047216605356	0.0	0	36	31	5
canonical-isomiR	Gma-MIR12376b	Gma-MIR12376b	miR334_R31_L22	8	19705066	19705122	-	Gma-MIR12376b	miR334_R31_L22	Gma-MIR12376b.v1	miR908_R5_L21	0.0050071122269821355	0.989047216605356	0.0	0	36	31	5
canonical-isomiR	Gma-MIR12392a	Gma-MIR12392a	miR157_R103_L22	1	55666997	55667269	-	Gma-MIR12392a	miR157_R103_L22	Gma-MIR12392a.v1	miR1467_R2_L21	-0.4510008790977537	0.1908007114545065	0.0	0	105	103	2
canonical-isomiR	Gma-MIR12392b	Gma-MIR12392b	miR157_R103_L22	17	38135542	38135814	-	Gma-MIR12392b	miR157_R103_L22	Gma-MIR12392b.v1	miR1190_R3_L21	-0.06789941766245056	0.8521529040677738	0.0	0	106	103	3
canonical-isomiR	Gma-MIR12393	Gma-MIR12393	miR258_R49_L21	6	43786172	43786412	+	Gma-MIR12393	miR258_R49_L21	Gma-MIR12393.v1	miR876_R5_L21	-0.11565111031261421	0.7503698716248515	0.0	0	54	49	5
canonical-isomiR	Gma-MIR12410e	Gma-MIR12410e	miR406_R23_L21	14	13859413	13859478	+	Gma-MIR12410e	miR406_R23_L21	Gma-MIR12410e.v1	miR581_R11_L21	0.8247936763393602	0.0033175713499950356	0.0	0	34	23	11
canonical-isomiR	Gma-MIR12920	Gma-MIR12920	miR225_R61_L22	14	6745701	6745964	-	Gma-MIR12920	miR225_R61_L22	Gma-MIR12920.v1	miR1287_R2_L21	0.00793071459514929	0.982652652933361	0.0	0	63	61	2
canonical-isomiR	Gma-MIR13639	Gma-MIR13639	miR337_R31_L20	19	50282842	50283116	+	Gma-MIR13639	miR337_R31_L20	Gma-MIR13639.v1	miR380_R26_L21	-0.358946587467907	0.30839019644657717	0.0	0	57	31	26
canonical-isomiR	Gma-MIR13837	Gma-MIR13837	miR1002_R4_L20	10	47050318	47050370	-	Gma-MIR13837	miR1002_R4_L20	Gma-MIR13837.v1	miR553_R12_L21	-0.11111111111111108	0.759922968348739	0.0	0	16	4	12
canonical-isomiR	Gma-MIR13986	Gma-MIR13986	miR234_R58_L21	17	10662868	10662995	+	Gma-MIR13986	miR234_R58_L21	Gma-MIR13986.v1	miR1564_R2_L21	0.42739457050429114	0.2179503176478717	0.0	0	60	58	2
canonical-isomiR	Gma-MIR14289	Gma-MIR14289	miR140_R123_L22	14	19968359	19968421	-	Gma-MIR14289	miR140_R123_L22	Gma-MIR14289.v1	miR1364_R2_L22	0.5472807495198768	0.10155335370371224	0.0	0	125	123	2
canonical-isomiR	Gma-MIR14589	Gma-MIR14589	miR424_R21_L21	16	32193632	32193708	-	Gma-MIR14589	miR424_R21_L21	Gma-MIR14589.v1	miR526_R13_L21	0.12249205674010707	0.7360329848510196	0.0	0	34	21	13
canonical-isomiR	Gma-MIR14645a	Gma-MIR14645a	miR568_R12_L22	1	46103864	46103996	+	Gma-MIR14645a	miR568_R12_L22	Gma-MIR14645a.v1	miR860_R6_L21	0.8566744237134742	0.001547224021269899	0.38461538461538464	5	13	12	6
canonical-isomiR	Gma-MIR14645b	Gma-MIR14645b	miR568_R12_L22	1	46360055	46360099	+	Gma-MIR14645b	miR568_R12_L22	Gma-MIR14645b.v1	miR860_R6_L21	0.8566744237134742	0.001547224021269899	0.38461538461538464	5	13	12	6
canonical-isomiR	Gma-MIR14645c	Gma-MIR14645c	miR568_R12_L22	2	39793005	39793140	-	Gma-MIR14645c	miR568_R12_L22	Gma-MIR14645c.v1	miR860_R6_L21	0.8566744237134742	0.001547224021269899	0.38461538461538464	5	13	12	6
canonical-isomiR	Gma-MIR14645d	Gma-MIR14645d	miR568_R12_L22	4	42417238	42417328	-	Gma-MIR14645d	miR568_R12_L22	Gma-MIR14645d.v1	miR860_R6_L21	0.8566744237134742	0.001547224021269899	0.38461538461538464	5	13	12	6
canonical-isomiR	Gma-MIR14645e	Gma-MIR14645e	miR568_R12_L22	10	29754978	29755067	+	Gma-MIR14645e	miR568_R12_L22	Gma-MIR14645e.v1	miR860_R6_L21	0.8566744237134742	0.001547224021269899	0.38461538461538464	5	13	12	6
canonical-isomiR	Gma-MIR14939b	Gma-MIR14939b	miR928_R5_L21	10	53918694	53918741	-	Gma-MIR14939b	miR928_R5_L21	Gma-MIR14939b.v1	miR388_R25_L22	-0.11111111111111106	0.759922968348739	0.0	0	29	5	24
canonical-isomiR	Gma-MIR398e	Gma-MIR398e	miR541_R13_L22	14	2738001	2738099	-	Gma-MIR398e	miR541_R13_L22	Gma-MIR398e.v1	miR433_R20_L21	-0.17002560749570414	0.638635815487514	0.0	0	33	13	20
canonical-isomiR	Gma-MIR398e	Gma-MIR398e-5p	miR227_R60_L22	14	2738002	2738098	-	Gma-MIR398e-5p	miR227_R60_L22	Gma-MIR398e-5p.v1	miR706_R8_L21	0.09590251076540339	0.7921321033156726	0.0	0	68	60	8
canonical-isomiR	Gma-MIRN12254	Gma-MIRN12254	miR598_R11_L22	10	18262913	18263051	+	Gma-MIRN12254	miR598_R11_L22	Gma-MIRN12254.v1	miR1519_R2_L22	-0.26595557581195706	0.4576557079842851	0.0	0	13	11	2
canonical-isomiR	Gma-MIRN14549	Gma-MIRN14549	miR443_R19_L22	4	43425719	43425804	-	Gma-MIRN14549	miR443_R19_L22	Gma-MIRN14549.v1	miR1444_R2_L22	-0.09288628720219037	0.798555274758666	0.0	0	21	19	2
canonical-isomiR	Gma-MIRN15516	Gma-MIRN15516	miR466_R17_L20	16	7267801	7267882	+	Gma-MIRN15516	miR466_R17_L20	Gma-MIRN15516.v1	miR736_R7_L21	0.22416476964424775	0.5335460801972003	0.0	0	24	17	7
canonical-isomiR	Gma-MIRN17872	Gma-MIRN17872	miR1588_R2_L20	6	3660509	3660581	+	Gma-MIRN17872	miR1588_R2_L20	Gma-MIRN17872.v1	miR338_R31_L21	0.8067481919853395	0.0047977320153189135	0.0	0	33	2	31
canonical-isomiR	Gma-MIRN18007	Gma-MIRN18007	miR1160_R3_L20	7	42439888	42440151	-	Gma-MIRN18007	miR1160_R3_L20	Gma-MIRN18007.v1	miR954_R5_L21	-0.14197256999998667	0.6956194754586931	0.0	0	8	3	5
canonical-isomiR	Gma-MIRN18544	Gma-MIRN18544	miR863_R6_L22	4	47855816	47856013	-	Gma-MIRN18544	miR863_R6_L22	Gma-MIRN18544.v1	miR605_R11_L21	-0.01050866093231579	0.9770148426185373	0.0	0	17	6	11
canonical-isomiR	Gma-MIRN326	Gma-MIRN326	miR317_R33_L21	2	16604887	16605151	-	Gma-MIRN326	miR317_R33_L21	Gma-MIRN326.v1	miR445_R19_L22	-0.16047113796971813	0.657869962635061	0.0	0	52	33	19
canonical-isomiR	Gma-MIRN4409a	Gma-MIRN4409a	miR635_R9_L22	5	39640888	39640949	-	Gma-MIRN4409a	miR635_R9_L22	Gma-MIRN4409a.v1	miR1270_R2_L22	-6.938893903907228e-18	1.0	0.0	0	11	9	2
canonical-isomiR	Gma-MIRN520a	Gma-MIRN520a	miR100_R191_L20	1	54170212	54170402	-	Gma-MIRN520a	miR100_R191_L20	Gma-MIRN520a.v1	miR159_R101_L21	0.7678677825429209	0.00949566637432417	0.0	0	292	191	101
canonical-isomiR	Gma-MIRN520a	Gma-MIRN520a	miR100_R191_L20	1	54170212	54170402	-	Gma-MIRN520a	miR100_R191_L20	Gma-MIRN520a.v2	miR462_R17_L21	0.6056608637677077	0.06349331228335056	0.061224489795918366	12	196	191	17
canonical-isomiR	Gma-MIRN520a	Gma-MIRN520a	miR100_R191_L20	1	54170212	54170402	-	Gma-MIRN520a	miR100_R191_L20	Gma-MIRN520a.v3	miR1417_R2_L20	-0.4352093589932015	0.20873089815632845	0.0	0	193	191	2
isomiR-isomiR	Gma-MIRN520a	Gma-MIRN520a	miR100_R191_L20	1	54170212	54170402	-	Gma-MIRN520a.v1	miR159_R101_L21	Gma-MIRN520a.v2	miR462_R17_L21	0.18237609893069834	0.6140589844879198	0.0	0	118	101	17
isomiR-isomiR	Gma-MIRN520a	Gma-MIRN520a	miR100_R191_L20	1	54170212	54170402	-	Gma-MIRN520a.v1	miR159_R101_L21	Gma-MIRN520a.v3	miR1417_R2_L20	-0.4490133009365807	0.19300594168150398	0.0	0	103	101	2
isomiR-isomiR	Gma-MIRN520a	Gma-MIRN520a	miR100_R191_L20	1	54170212	54170402	-	Gma-MIRN520a.v2	miR462_R17_L21	Gma-MIRN520a.v3	miR1417_R2_L20	-0.23038130882858077	0.5219477610866186	0.0	0	19	17	2
canonical-isomiR	Gma-MIRN520b	Gma-MIRN520b	miR100_R191_L20	11	4594264	4594451	+	Gma-MIRN520b	miR100_R191_L20	Gma-MIRN520b.v1	miR159_R101_L21	0.7678677825429209	0.00949566637432417	0.0	0	292	191	101
canonical-isomiR	Gma-MIRN520b	Gma-MIRN520b	miR100_R191_L20	11	4594264	4594451	+	Gma-MIRN520b	miR100_R191_L20	Gma-MIRN520b.v2	miR462_R17_L21	0.6056608637677077	0.06349331228335056	0.061224489795918366	12	196	191	17
canonical-isomiR	Gma-MIRN520b	Gma-MIRN520b	miR100_R191_L20	11	4594264	4594451	+	Gma-MIRN520b	miR100_R191_L20	Gma-MIRN520b.v3	miR1417_R2_L20	-0.4352093589932015	0.20873089815632845	0.0	0	193	191	2
isomiR-isomiR	Gma-MIRN520b	Gma-MIRN520b	miR100_R191_L20	11	4594264	4594451	+	Gma-MIRN520b.v1	miR159_R101_L21	Gma-MIRN520b.v2	miR462_R17_L21	0.18237609893069834	0.6140589844879198	0.0	0	118	101	17
isomiR-isomiR	Gma-MIRN520b	Gma-MIRN520b	miR100_R191_L20	11	4594264	4594451	+	Gma-MIRN520b.v1	miR159_R101_L21	Gma-MIRN520b.v3	miR1417_R2_L20	-0.4490133009365807	0.19300594168150398	0.0	0	103	101	2
isomiR-isomiR	Gma-MIRN520b	Gma-MIRN520b	miR100_R191_L20	11	4594264	4594451	+	Gma-MIRN520b.v2	miR462_R17_L21	Gma-MIRN520b.v3	miR1417_R2_L20	-0.23038130882858077	0.5219477610866186	0.0	0	19	17	2
canonical-isomiR	Gma-MIRN6620	Gma-MIRN6620	miR773_R7_L21	16	28591221	28591491	+	Gma-MIRN6620	miR773_R7_L21	Gma-MIRN6620.v1	miR670_R9_L22	-0.11272403027632143	0.7565256362326168	0.0	0	16	7	9
canonical-isomiR	Gma-MIRN6782	Gma-MIRN6782	miR463_R17_L22	3	6293666	6293788	-	Gma-MIRN6782	miR463_R17_L22	Gma-MIRN6782.v1	miR1361_R2_L21	0.8994677803654374	0.00039520229290827645	0.0	0	19	17	2
canonical-isomiR	Gma-MIRN6784	Gma-MIRN6784	miR341_R30_L22	10	21210043	21210210	-	Gma-MIRN6784	miR341_R30_L22	Gma-MIRN6784.v1	miR1028_R4_L21	0.152100267664383	0.6748717018462961	0.0	0	34	30	4
canonical-isomiR	Gma-MIRN6800	Gma-MIRN6800	miR1392_R2_L21	8	29233959	29234165	-	Gma-MIRN6800	miR1392_R2_L21	Gma-MIRN6800.v1	miR1321_R2_L22	-0.1477635311413854	0.6837327832241228	0.0	0	4	2	2
canonical-isomiR	Gma-MIRN9421	Gma-MIRN9421	miR373_R26_L22	14	4576541	4576808	-	Gma-MIRN9421	miR373_R26_L22	Gma-MIRN9421.v1	miR728_R7_L22	-0.09078268431512887	0.8030414557763508	0.0	0	33	26	7
canonical-isomiR	Gma-miR12209b	Gma-miR12209b	miR451_R18_L21	17	5975718	5975869	+	Gma-miR12209b	miR451_R18_L21	Gma-miR12209b.v1	miR589_R11_L20	-0.2256108475401219	0.5308388686059211	0.0	0	29	18	11
canonical-isomiR	Gma-miR12269l	Gma-miR12269l	miR318_R33_L22	10	40966522	40966619	+	Gma-miR12269l	miR318_R33_L22	Gma-miR12269l.v1	miR674_R8_L22	0.5062735457569547	0.13539626754489043	0.0	0	41	33	8
canonical-isomiR	Gma-miR12410h	Gma-miR12410h	miR406_R23_L21	7	10023314	10023379	+	Gma-miR12410h	miR406_R23_L21	Gma-miR12410h.v1	miR581_R11_L21	0.8247936763393602	0.0033175713499950356	0.0	0	34	23	11
canonical-isomiR	Gma-miR12410h	Gma-miR12410h-3p	miR1458_R2_L21	7	10023315	10023378	+	Gma-miR12410h-3p	miR1458_R2_L21	Gma-miR12410h-3p.v1	miR1305_R2_L21	0.9999999999999996	1.701605740040155e-61	0.0	0	4	2	2
canonical-isomiR	Gma-miR12410j	Gma-miR12410j	miR406_R23_L21	7	10024653	10024718	+	Gma-miR12410j	miR406_R23_L21	Gma-miR12410j.v1	miR581_R11_L21	0.8247936763393602	0.0033175713499950356	0.0	0	34	23	11
canonical-isomiR	Gma-miR13146a	Gma-miR13146a	miR730_R7_L22	2	14818724	14818968	-	Gma-miR13146a	miR730_R7_L22	Gma-miR13146a.v1	miR978_R4_L21	0.6130883582820736	0.05945633576400098	0.0	0	11	7	4
canonical-isomiR	Gma-miR13146b	Gma-miR13146b	miR730_R7_L22	6	46995286	46995530	+	Gma-miR13146b	miR730_R7_L22	Gma-miR13146b.v1	miR978_R4_L21	0.6130883582820736	0.05945633576400098	0.0	0	11	7	4
canonical-isomiR	Gma-miR13146c	Gma-miR13146c	miR730_R7_L22	10	25063719	25063963	-	Gma-miR13146c	miR730_R7_L22	Gma-miR13146c.v1	miR978_R4_L21	0.6130883582820736	0.05945633576400098	0.0	0	11	7	4
canonical-isomiR	Gma-miR13877c	Gma-miR13877c	miR185_R84_L22	7	1975795	1976019	-	Gma-miR13877c	miR185_R84_L22	Gma-miR13877c.v1	miR428_R20_L22	0.19756918180564206	0.5842956315051622	0.0	0	104	84	20
canonical-isomiR	Gma-miR14289a	Gma-miR14289a	miR140_R123_L22	3	8931009	8931071	+	Gma-miR14289a	miR140_R123_L22	Gma-miR14289a.v1	miR1364_R2_L22	0.5472807495198768	0.10155335370371224	0.0	0	125	123	2
canonical-isomiR	Gma-miR14645f	Gma-miR14645f	miR568_R12_L22	3	31568057	31568144	+	Gma-miR14645f	miR568_R12_L22	Gma-miR14645f.v1	miR860_R6_L21	0.8566744237134742	0.001547224021269899	0.38461538461538464	5	13	12	6
canonical-isomiR	Gma-miR14645j	Gma-miR14645j	miR568_R12_L22	11	15251711	15251800	-	Gma-miR14645j	miR568_R12_L22	Gma-miR14645j.v1	miR860_R6_L21	0.8566744237134742	0.001547224021269899	0.38461538461538464	5	13	12	6
canonical-isomiR	Gma-miR14645l	Gma-miR14645l	miR568_R12_L22	15	17040108	17040152	-	Gma-miR14645l	miR568_R12_L22	Gma-miR14645l.v1	miR860_R6_L21	0.8566744237134742	0.001547224021269899	0.38461538461538464	5	13	12	6
canonical-isomiR	Gma-miR14645m	Gma-miR14645m	miR568_R12_L22	18	16349358	16349447	-	Gma-miR14645m	miR568_R12_L22	Gma-miR14645m.v1	miR860_R6_L21	0.8566744237134742	0.001547224021269899	0.38461538461538464	5	13	12	6
canonical-isomiR	Gma-miR14645n	Gma-miR14645n	miR568_R12_L22	18	16349363	16349452	+	Gma-miR14645n	miR568_R12_L22	Gma-miR14645n.v1	miR860_R6_L21	0.8566744237134742	0.001547224021269899	0.38461538461538464	5	13	12	6
canonical-isomiR	Gma-miR14846a	Gma-miR14846a	miR493_R15_L21	14	1428232	1428729	-	Gma-miR14846a	miR493_R15_L21	Gma-miR14846a.v1	miR1473_R2_L21	-0.24350786402517396	0.4978041241170241	0.0	0	17	15	2
canonical-isomiR	Gma-miR160l	Gma-miR160l	miR207_R69_L21	15	9790043	9790126	-	Gma-miR160l	miR207_R69_L21	Gma-miR160l.v1	miR1098_R3_L20	0.10314185573314213	0.7767621389898058	0.0	0	72	69	3
canonical-isomiR	Gma-miR477c	Gma-miR477c	miR741_R7_L22	1	49846650	49846746	-	Gma-miR477c	miR741_R7_L22	Gma-miR477c.v1	miR1276_R2_L22	0.6148858066831975	0.05850548803969284	0.0	0	9	7	2
canonical-isomiR	Gma-miRN13170c	Gma-miRN13170c	miR123_R145_L22	7	17272156	17272299	-	Gma-miRN13170c	miR123_R145_L22	Gma-miRN13170c.v1	miR774_R7_L22	-0.2098606436512912	0.5606193159447689	0.0	0	152	145	7
canonical-isomiR	Gma-miRN13170e	Gma-miRN13170e	miR123_R145_L22	9	41450818	41450961	+	Gma-miRN13170e	miR123_R145_L22	Gma-miRN13170e.v1	miR774_R7_L22	-0.2098606436512912	0.5606193159447689	0.0	0	152	145	7
canonical-isomiR	Gma-miRN13170e	Gma-miRN13170e	miR123_R145_L22	9	41450818	41450961	+	Gma-miRN13170e	miR123_R145_L22	Gma-miRN13170e.v2	miR871_R5_L22	0.48087391191593043	0.15944160582462802	0.006711409395973154	1	149	145	5
isomiR-isomiR	Gma-miRN13170e	Gma-miRN13170e	miR123_R145_L22	9	41450818	41450961	+	Gma-miRN13170e.v1	miR774_R7_L22	Gma-miRN13170e.v2	miR871_R5_L22	-0.0916377078373011	0.8012173852313504	0.0	0	12	7	5
canonical-isomiR	Gma-miRN13170g	Gma-miRN13170g	miR123_R145_L22	12	13099724	13100100	-	Gma-miRN13170g	miR123_R145_L22	Gma-miRN13170g.v1	miR774_R7_L22	-0.2098606436512912	0.5606193159447689	0.0	0	152	145	7
canonical-isomiR	Gma-miRN13170g	Gma-miRN13170g	miR123_R145_L22	12	13099724	13100100	-	Gma-miRN13170g	miR123_R145_L22	Gma-miRN13170g.v2	miR871_R5_L22	0.48087391191593043	0.15944160582462802	0.006711409395973154	1	149	145	5
isomiR-isomiR	Gma-miRN13170g	Gma-miRN13170g	miR123_R145_L22	12	13099724	13100100	-	Gma-miRN13170g.v1	miR774_R7_L22	Gma-miRN13170g.v2	miR871_R5_L22	-0.0916377078373011	0.8012173852313504	0.0	0	12	7	5
canonical-isomiR	Gma-miRN13170h	Gma-miRN13170h	miR123_R145_L22	12	25112959	25113102	-	Gma-miRN13170h	miR123_R145_L22	Gma-miRN13170h.v1	miR871_R5_L22	0.48087391191593043	0.15944160582462802	0.006711409395973154	1	149	145	5
canonical-isomiR	Gma-miRN13170i	Gma-miRN13170i	miR123_R145_L22	12	25123202	25123345	+	Gma-miRN13170i	miR123_R145_L22	Gma-miRN13170i.v1	miR774_R7_L22	-0.2098606436512912	0.5606193159447689	0.0	0	152	145	7
canonical-isomiR	Gma-miRN13170i	Gma-miRN13170i	miR123_R145_L22	12	25123202	25123345	+	Gma-miRN13170i	miR123_R145_L22	Gma-miRN13170i.v2	miR871_R5_L22	0.48087391191593043	0.15944160582462802	0.006711409395973154	1	149	145	5
isomiR-isomiR	Gma-miRN13170i	Gma-miRN13170i	miR123_R145_L22	12	25123202	25123345	+	Gma-miRN13170i.v1	miR774_R7_L22	Gma-miRN13170i.v2	miR871_R5_L22	-0.0916377078373011	0.8012173852313504	0.0	0	12	7	5
canonical-isomiR	Gma-miRN13170k	Gma-miRN13170k	miR123_R145_L22	14	45379736	45380112	-	Gma-miRN13170k	miR123_R145_L22	Gma-miRN13170k.v1	miR774_R7_L22	-0.2098606436512912	0.5606193159447689	0.0	0	152	145	7
canonical-isomiR	Gma-miRN13170k	Gma-miRN13170k	miR123_R145_L22	14	45379736	45380112	-	Gma-miRN13170k	miR123_R145_L22	Gma-miRN13170k.v2	miR871_R5_L22	0.48087391191593043	0.15944160582462802	0.006711409395973154	1	149	145	5
isomiR-isomiR	Gma-miRN13170k	Gma-miRN13170k	miR123_R145_L22	14	45379736	45380112	-	Gma-miRN13170k.v1	miR774_R7_L22	Gma-miRN13170k.v2	miR871_R5_L22	-0.0916377078373011	0.8012173852313504	0.0	0	12	7	5
canonical-isomiR	Gma-miRN13170l	Gma-miRN13170l	miR123_R145_L22	19	3962099	3962354	+	Gma-miRN13170l	miR123_R145_L22	Gma-miRN13170l.v1	miR774_R7_L22	-0.2098606436512912	0.5606193159447689	0.0	0	152	145	7
canonical-isomiR	Gma-miRN13170l	Gma-miRN13170l	miR123_R145_L22	19	3962099	3962354	+	Gma-miRN13170l	miR123_R145_L22	Gma-miRN13170l.v2	miR871_R5_L22	0.48087391191593043	0.15944160582462802	0.006711409395973154	1	149	145	5
isomiR-isomiR	Gma-miRN13170l	Gma-miRN13170l	miR123_R145_L22	19	3962099	3962354	+	Gma-miRN13170l.v1	miR774_R7_L22	Gma-miRN13170l.v2	miR871_R5_L22	-0.0916377078373011	0.8012173852313504	0.0	0	12	7	5
canonical-isomiR	Gma-miRN17447a	Gma-miRN17447a	miR847_R6_L21	19	34261609	34261672	-	Gma-miRN17447a	miR847_R6_L21	Gma-miRN17447a.v1	miR1228_R3_L22	-0.06741807098742159	0.8531914557251133	0.0	0	9	6	3
canonical-isomiR	Gma-miRN17742a	Gma-miRN17742a	miR604_R11_L21	2	41765249	41765387	-	Gma-miRN17742a	miR604_R11_L21	Gma-miRN17742a.v1	miR1032_R4_L21	0.009893113463308512	0.9783609322774187	0.0	0	15	11	4
canonical-isomiR	Gma-miRN17742b	Gma-miRN17742b	miR604_R11_L21	5	11671838	11671934	+	Gma-miRN17742b	miR604_R11_L21	Gma-miRN17742b.v1	miR1032_R4_L21	0.009893113463308512	0.9783609322774187	0.0	0	15	11	4
canonical-isomiR	Gma-miRN17742c	Gma-miRN17742c	miR604_R11_L21	14	15774042	15774116	+	Gma-miRN17742c	miR604_R11_L21	Gma-miRN17742c.v1	miR1032_R4_L21	0.009893113463308512	0.9783609322774187	0.0	0	15	11	4
canonical-isomiR	Gma-miRN17742d	Gma-miRN17742d	miR604_R11_L21	14	45700861	45700957	+	Gma-miRN17742d	miR604_R11_L21	Gma-miRN17742d.v1	miR1032_R4_L21	0.009893113463308512	0.9783609322774187	0.0	0	15	11	4
canonical-isomiR	Gma-miRN17742e	Gma-miRN17742e	miR604_R11_L21	20	5859390	5859469	-	Gma-miRN17742e	miR604_R11_L21	Gma-miRN17742e.v1	miR1032_R4_L21	0.009893113463308512	0.9783609322774187	0.0	0	15	11	4
canonical-isomiR	Gma-miRN18146a	Gma-miRN18146a	miR363_R27_L22	3	1596652	1596737	+	Gma-miRN18146a	miR363_R27_L22	Gma-miRN18146a.v1	miR647_R9_L20	-0.12129893989782364	0.7385283075521922	0.0	0	36	27	9
canonical-isomiR	Gma-miRN18397a	Gma-miRN18397a	miR626_R10_L21	14	50022419	50022501	+	Gma-miRN18397a	miR626_R10_L21	Gma-miRN18397a.v1	miR1073_R3_L20	0.5774127090610234	0.08047577423524233	0.0	0	13	10	3
canonical-isomiR	Gma-miRN18397a	Gma-miRN18397a	miR626_R10_L21	14	50022419	50022501	+	Gma-miRN18397a	miR626_R10_L21	Gma-miRN18397a.v2	miR1481_R2_L21	-0.16558158568661696	0.6475587811460277	0.0	0	12	10	2
canonical-isomiR	Gma-miRN18397a	Gma-miRN18397a	miR626_R10_L21	14	50022419	50022501	+	Gma-miRN18397a	miR626_R10_L21	Gma-miRN18397a.v3	miR1442_R2_L20	0.5774127090610234	0.08047577423524233	0.0	0	12	10	2
isomiR-isomiR	Gma-miRN18397a	Gma-miRN18397a	miR626_R10_L21	14	50022419	50022501	+	Gma-miRN18397a.v1	miR1073_R3_L20	Gma-miRN18397a.v2	miR1481_R2_L21	-0.11111111111111108	0.759922968348739	0.0	0	5	3	2
isomiR-isomiR	Gma-miRN18397a	Gma-miRN18397a	miR626_R10_L21	14	50022419	50022501	+	Gma-miRN18397a.v1	miR1073_R3_L20	Gma-miRN18397a.v3	miR1442_R2_L20	1.0	0.0	0.0	0	5	3	2
isomiR-isomiR	Gma-miRN18397a	Gma-miRN18397a	miR626_R10_L21	14	50022419	50022501	+	Gma-miRN18397a.v2	miR1481_R2_L21	Gma-miRN18397a.v3	miR1442_R2_L20	-0.11111111111111106	0.759922968348739	0.0	0	4	2	2
