Query_ID	Chr	Subject_ID	Genome_start	Genome_end	S_strand	Pident	Qcovs	Aln_Length	Q_length	Q_start	Q_end	S_start	S_end	Evalue	Bitscore	Subject_description
gma-MIR1516b	Chr09	GWHAAEV00000009.1	2541037	2541187	minus	100.000	100	151	151	1	151	2541187	2541037	5.38e-72	273	  Chromosome 9   Complete=T   Circular=F   OriSeqID=Chr09   Len=51486896
gma-MIR1516c	Chr04	GWHAAEV00000004.1	41206932	41207054	plus	100.000	100	123	123	1	123	41206932	41207054	6.58e-57	223	  Chromosome 4   Complete=T   Circular=F   OriSeqID=Chr04   Len=53978414
gma-MIR1516d	Chr08	GWHAAEV00000008.1	48257648	48257754	minus	100.000	100	107	107	1	107	48257754	48257648	2.68e-48	194	  Chromosome 8   Complete=T   Circular=F   OriSeqID=Chr08   Len=49896852
gma-MIR1517	Chr14	GWHAAEV00000014.1	47678216	47678612	plus	100.000	100	397	397	1	397	47678216	47678612	0.0	717	  Chromosome 14   Complete=T   Circular=F   OriSeqID=Chr14   Len=53013617
gma-MIR1518	Chr09	GWHAAEV00000009.1	7438634	7438771	plus	100.000	100	138	138	1	138	7438634	7438771	5.49e-65	250	  Chromosome 9   Complete=T   Circular=F   OriSeqID=Chr09   Len=51486896
gma-MIR1519	Chr07	GWHAAEV00000007.1	11349131	11349397	plus	100.000	100	267	267	1	267	11349131	11349397	1.11e-134	482	  Chromosome 7   Complete=T   Circular=F   OriSeqID=Chr07   Len=46590119
gma-MIR1520a	Chr14	GWHAAEV00000014.1	37963287	37963436	minus	100.000	100	150	150	1	150	37963436	37963287	1.86e-71	271	  Chromosome 14   Complete=T   Circular=F   OriSeqID=Chr14   Len=53013617
gma-MIR1520b	Chr20	GWHAAEV00000020.1	46074276	46074404	minus	100.000	100	129	129	1	129	46074404	46074276	3.87e-60	233	  Chromosome 20   Complete=T   Circular=F   OriSeqID=Chr20   Len=52284028
gma-MIR1520c	Chr17	GWHAAEV00000017.1	38135626	38135765	plus	100.000	100	140	140	1	140	38135626	38135765	4.59e-66	253	  Chromosome 17   Complete=T   Circular=F   OriSeqID=Chr17   Len=42350739
gma-MIR1520d	Chr07	GWHAAEV00000007.1	123419	123525	minus	93.458	100	107	111	5	111	123525	123419	1.65e-38	162	  Chromosome 7   Complete=T   Circular=F   OriSeqID=Chr07   Len=46590119
gma-MIR1520e	Chr17	GWHAAEV00000017.1	18048471	18048634	minus	100.000	100	164	164	1	164	18048634	18048471	5.22e-79	297	  Chromosome 17   Complete=T   Circular=F   OriSeqID=Chr17   Len=42350739
gma-MIR1520f	Chr02	GWHAAEV00000002.1	17754330	17754432	minus	100.000	100	103	103	1	103	17754432	17754330	3.78e-46	187	  Chromosome 2   Complete=T   Circular=F   OriSeqID=Chr02   Len=52160593
