Query_A	Query_B	Chr	Strand	A_start	A_end	B_start	B_end	Overlap_bp	Overlap_over_min_len
Gma-MIR10198f|PmiREN0012588|Gm03:9065241-9065513(+)	Gma-MIR10198h|PmiREN0012590|Gm03:9137489-9137761(+)	Chr03	plus	8971468	8971699	8971468	8971699	232	1.0000
Gma-MIR10198g|PmiREN0012589|Gm03:9066263-9066535(+)	Gma-MIR10198h|PmiREN0012590|Gm03:9137489-9137761(+)	Chr03	plus	8971468	8971699	8971468	8971699	232	1.0000
Gma-MIR10198i|PmiREN0012592|scaffold_105:25657-25925(-)	Gma-MIR10198j|PmiREN0012591|scaffold_253:1895-2163(-)	Chr03	plus	8721143	8721370	8721143	8721370	228	1.0000
Gma-MIR10408a|PmiREN0012593|Gm01:12576883-12576975(-)	Gma-MIR10408i|PmiREN0012601|Gm15:41239011-41239103(-)	Chr01	minus	13282624	13282675	13282624	13282673	50	1.0000
Gma-MIR10409|PmiREN0012495|Gm01:18201247-18201359(-)	Gma-MIRN14660|PmiREN0012931|Gm01:18201247-18201376(-)	Chr01	minus	19530841	19530929	19530841	19530929	89	1.0000
Gma-MIR10413a|PmiREN0012498|Gm02:33918823-33918905(-)	Gma-MIR10413f|PmiREN0012602|Gm02:33918824-33918915(-)	Chr02	minus	35558425	35558475	35558425	35558475	51	1.0000
Gma-MIR10413c|PmiREN0012500|Gm05:21264916-21265164(-)	Gma-MIR10413i|PmiREN0012605|Gm05:21264901-21265164(-)	Chr05	plus	24142201	24142423	24142201	24142423	223	1.0000
Gma-MIR10413g|PmiREN0012604|Gm04:31015262-31015353(-)	Gma-MIR10413h|PmiREN0012606|Gm04:31024253-31024347(-)	Chr04	minus	33057053	33057103	33057050	33057103	51	1.0000
Gma-MIR10419|PmiREN0012502|Gm05:40493401-40493594(-)	Gma-MIRN9677|PmiREN0013075|Gm05:40493401-40493594(-)	Chr05	minus	43448664	43448816	43448664	43448816	153	1.0000
Gma-MIR10422|PmiREN0012505|Gm06:27066515-27066662(+)	Gma-MIRN351|PmiREN0013166|Gm06:27066515-27066662(+)	Chr06	minus	26869246	26869352	26869246	26869352	107	1.0000
Gma-MIR10424b|PmiREN0012507|Gm12:5098007-5098184(+)	Gma-MIR10424l|PmiREN0012612|Gm12:5097898-5098184(+)	Chr12	plus	5179210	5179346	5179101	5179346	137	1.0000
Gma-MIR10424i|PmiREN0012514|Gm16:8195901-8196082(+)	Gma-MIR10424n|PmiREN0012611|Gm16:8195899-8196084(+)	Chr16	plus	8157471	8157611	8157469	8157613	141	1.0000
Gma-MIR10432|PmiREN0012519|Gm13:36056341-36056567(-)	Gma-MIRN15115|PmiREN0012976|Gm13:36056341-36056567(-)	Chr13	minus	37743459	37743644	37743459	37743644	186	1.0000
Gma-MIR10438|PmiREN0012520|Gm17:21291741-21291878(-)	Gma-MIR10438a|PmiREN0012614|Gm17:21291730-21291887(-)	Chr17	minus	21439663	21439779	21439663	21439779	117	1.0000
Gma-MIR12185|PmiREN0012616|Gm02:45631152-45631269(-)	Gma-MIR169j|PmiREN0012109|Gm02:45631148-45631273(-)	Chr02	minus	47408286	47408362	47408282	47408366	77	1.0000
Gma-MIR12214a|PmiREN0012632|Gm16:30019598-30019699(-)	Gma-MIR12214b|PmiREN0012633|scaffold_141:19541-19642(-)	Chr16	minus	30393194	30393254	30393194	30393254	61	1.0000
Gma-MIR12265|PmiREN0012638|Gm18:4328994-4329249(+)	Gma-MIR5671b|PmiREN0012406|Gm18:4329002-4329252(+)	Chr18	plus	4434364	4434578	4434363	4434579	215	1.0000
Gma-MIR12276|PmiREN0012648|Gm15:14208368-14208506(+)	Gma-MIR169ab|PmiREN0012127|Gm15:14208368-14208506(+)	Chr15	plus	14418451	14418548	14418451	14418548	98	1.0000
Gma-MIR12315a|PmiREN0012649|Gm10:46924084-46924217(+)	Gma-MIR399m|PmiREN0012257|Gm10:46924084-46924217(+)	Chr10	plus	49390578	49390670	49390578	49390670	93	1.0000
Gma-MIR12315b|PmiREN0012650|Gm20:39331800-39331933(-)	Gma-MIR399o|PmiREN0012259|Gm20:39331800-39331933(-)	Chr20	minus	43676442	43676534	43676442	43676534	93	1.0000
Gma-MIR12331|PmiREN0012653|Gm13:20531682-20531801(+)	Gma-MIR14249b|PmiREN0012108|Gm13:20531682-20531801(+)	Chr13	plus	22283435	22283513	22283435	22283513	79	1.0000
Gma-MIR12347|PmiREN0012656|Gm15:14187026-14187146(+)	Gma-MIR13824|PmiREN0012115|Gm15:14187026-14187146(+)	Chr15	plus	14397026	14397105	14397026	14397105	80	1.0000
Gma-MIR12374a|PmiREN0012661|Gm01:43011723-43011955(-)	Gma-MIR12374b|PmiREN0012662|Gm01:45987239-45987471(-)	Chr01	minus	44404603	44404794	44404603	44404794	192	1.0000
Gma-MIR12378b|PmiREN0012672|Gm06:36209978-36210090(-)	Gma-MIR12378c|PmiREN0012673|Gm09:38144272-38144384(+)	Chr06	minus	36862566	36862637	36862566	36862637	72	1.0000
Gma-MIR12378b|PmiREN0012672|Gm06:36209978-36210090(-)	Gma-MIR12378d|PmiREN0012674|Gm09:38148391-38148503(-)	Chr06	minus	36862566	36862637	36862566	36862637	72	1.0000
Gma-MIR12378c|PmiREN0012673|Gm09:38144272-38144384(+)	Gma-MIR12378d|PmiREN0012674|Gm09:38148391-38148503(-)	Chr06	minus	36862566	36862637	36862566	36862637	72	1.0000
Gma-MIR12398|PmiREN0012682|Gm02:10682941-10683120(-)	Gma-MIR5670b|PmiREN0012404|Gm02:10682918-10683143(-)	Chr02	minus	10830047	10830185	10830024	10830208	139	1.0000
Gma-MIR12399|PmiREN0012683|Gm03:24451558-24451680(+)	Gma-MIR4387c|PmiREN0012355|Gm03:24451558-24451680(+)	Chr03	plus	25459139	25459220	25459139	25459220	82	1.0000
Gma-MIR12524|PmiREN0012700|Gm14:19973337-19973479(+)	Gma-MIR13972|PmiREN0012235|Gm14:19973337-19973479(+)	Chr14	plus	19874611	19874712	19874611	19874712	102	1.0000
Gma-MIR12551|PmiREN0012430|Gm14:33705734-33705950(-)	Gma-MIRN6785|PmiREN0012891|Gm14:33705750-33705934(-)	Chr14	minus	36734562	36734737	36734578	36734721	144	1.0000
Gma-MIR12730|PmiREN0012709|Gm13:35848274-35848392(-)	Gma-MIR5763a|PmiREN0012416|Gm13:35848159-35848335(-)	Chr10	plus	40560036	40560112	40560012	40560134	77	1.0000
Gma-MIR12730|PmiREN0012709|Gm13:35848274-35848392(-)	Gma-MIR5763b|PmiREN0012417|Gm13:35848159-35848335(-)	Chr10	plus	40560036	40560112	40560012	40560134	77	1.0000
Gma-MIR12730|PmiREN0012709|Gm13:35848274-35848392(-)	Gma-MIR5763c|PmiREN0012418|Gm13:35848159-35848335(-)	Chr10	plus	40560036	40560112	40560012	40560134	77	1.0000
Gma-MIR12786|PmiREN0012710|Gm05:15834722-15834873(-)	Gma-MIR5672|PmiREN0012407|Gm05:15834722-15834873(-)	Chr05	minus	15861580	15861690	15861580	15861690	111	1.0000
Gma-MIR12918|PmiREN0012714|Gm05:38551935-38552124(+)	Gma-MIR14246|PmiREN0012119|Gm05:38551955-38552104(+)	Chr05	plus	41532911	41533059	41532931	41533039	109	1.0000
Gma-MIR13196|PmiREN0012735|Gm17:1489898-1490029(+)	Gma-MIR1514b|PmiREN0012301|Gm17:1489898-1490029(+)	Chr17	plus	1516019	1516109	1516019	1516109	91	1.0000
Gma-MIR13214a|PmiREN0012740|Gm04:40475757-40476045(+)	Gma-MIR13214d|PmiREN0012742|Gm09:20060661-20060949(+)	Chr04	plus	42720264	42720511	42720264	42720511	248	1.0000
Gma-MIR13214a|PmiREN0012740|Gm04:40475757-40476045(+)	Gma-MIR13214i|PmiREN0012747|Gm16:34765141-34765429(-)	Chr04	plus	42720264	42720511	42720264	42720511	248	1.0000
Gma-MIR13214b|PmiREN0012741|Gm06:7032599-7032887(-)	Gma-MIR13214j|PmiREN0012746|Gm16:35127251-35127539(+)	Chr06	minus	7099826	7100073	7099826	7100073	248	1.0000
Gma-MIR13214c|PmiREN0012736|Gm06:47142030-47142318(+)	Gma-MIR13214g|PmiREN0012737|Gm14:6694993-6695281(+)	Chr14	plus	6682115	6682362	6682115	6682362	248	1.0000
Gma-MIR13214d|PmiREN0012742|Gm09:20060661-20060949(+)	Gma-MIR13214i|PmiREN0012747|Gm16:34765141-34765429(-)	Chr04	plus	42720264	42720511	42720264	42720511	248	1.0000
Gma-MIR13263|PmiREN0012748|Gm01:4773609-4773738(-)	Gma-MIR395t|PmiREN0012221|Gm01:4773609-4773738(-)	Chr01	minus	5336713	5336801	5336713	5336801	89	1.0000
Gma-MIR13557|PmiREN0012751|Gm06:22048936-22049057(+)	Gma-MIR5281a|PmiREN0012391|Gm06:22048937-22049056(+)	Chr06	plus	21897371	21897451	21897372	21897450	79	1.0000
Gma-MIR13557|PmiREN0012751|Gm06:22048936-22049057(+)	Gma-MIR5281b|PmiREN0012392|Gm06:22048937-22049056(+)	Chr06	plus	21897371	21897451	21897372	21897450	79	1.0000
Gma-MIR13613|PmiREN0012753|Gm01:43381597-43381735(-)	Gma-MIR393b|PmiREN0012185|Gm01:43381596-43381736(-)	Chr01	minus	44787103	44787200	44787102	44787201	98	1.0000
Gma-MIR13688a|PmiREN0012478|Gm10:10897623-10897751(-)	Gma-MIR15085a|PmiREN0012794|Gm10:10897623-10897751(-)	Chr10	minus	11225913	11226000	11225913	11226000	88	1.0000
Gma-MIR13688c|PmiREN0012477|Gm16:22550156-22550269(+)	Gma-MIR15085c|PmiREN0012796|Gm16:22550156-22550269(+)	Chr16	plus	23008624	23008696	23008624	23008696	73	1.0000
Gma-MIR13728a|PmiREN0012287|Gm13:26455925-26456051(+)	Gma-MIR15129a|PmiREN0012799|Gm13:26455925-26456051(+)	Chr13	plus	28212585	28212670	28212585	28212670	86	1.0000
Gma-MIR13728b|PmiREN0012288|Gm17:5928153-5928279(+)	Gma-MIR15129b|PmiREN0012800|Gm17:5928153-5928279(+)	Chr17	plus	5975928	5976013	5975928	5976013	86	1.0000
Gma-MIR13737|PmiREN0012304|Gm20:44345977-44346104(-)	Gma-MIR15140|PmiREN0012803|Gm20:44345977-44346104(-)	Chr20	minus	48704638	48704722	48704638	48704722	85	1.0000
Gma-MIR13759|PmiREN0012463|Gm05:38662555-38662781(-)	Gma-MIRN12071|PmiREN0013226|Gm05:38662551-38662785(-)	Chr05	minus	41644493	41644678	41644489	41644682	186	1.0000
Gma-MIR13782b|PmiREN0012045|Gm13:16579173-16579265(+)	Gma-MIR15187a|PmiREN0012807|Gm13:16579173-16579265(+)	Chr13	plus	18376385	18376434	18376385	18376434	50	1.0000
Gma-MIR13784b|PmiREN0012017|Gm16:2817724-2817926(-)	Gma-MIR15190d|PmiREN0012813|Gm16:2817724-2817926(-)	Chr16	minus	2794125	2794286	2794125	2794286	162	1.0000
Gma-MIR13807a|PmiREN0012070|Gm01:34900296-34900546(-)	Gma-MIR13807b|PmiREN0012080|Gm06:45271371-45271621(-)	Chr01	minus	36297617	36297828	36297617	36297828	212	1.0000
Gma-MIR13807a|PmiREN0012070|Gm01:34900296-34900546(-)	Gma-MIR15218|PmiREN0012814|Gm01:34900298-34900550(-)	Chr01	minus	36297617	36297828	36297617	36297828	212	1.0000
Gma-MIR13807b|PmiREN0012080|Gm06:45271371-45271621(-)	Gma-MIR15218|PmiREN0012814|Gm01:34900298-34900550(-)	Chr01	minus	36297617	36297828	36297617	36297828	212	1.0000
Gma-MIR13808a|PmiREN0012089|Gm01:24731527-24731688(-)	Gma-MIR15223a|PmiREN0012817|Gm01:24731527-24731688(-)	Chr01	minus	26442364	26442484	26442364	26442484	121	1.0000
Gma-MIR13808b|PmiREN0012088|Gm04:32701005-32701165(+)	Gma-MIR15219a|PmiREN0012816|Gm06:45271265-45271434(-)	Chr04	plus	34783963	34784082	34783961	34784084	120	1.0000
Gma-MIR13808b|PmiREN0012088|Gm04:32701005-32701165(+)	Gma-MIR15223b|PmiREN0012818|Gm04:32701005-32701165(+)	Chr04	plus	34783963	34784082	34783963	34784082	120	1.0000
Gma-MIR13808c|PmiREN0012085|Gm04:46798182-46798347(+)	Gma-MIR15223c|PmiREN0012819|Gm04:46798182-46798347(+)	Chr04	plus	49072411	49072535	49072411	49072535	125	1.0000
Gma-MIR13808d|PmiREN0012082|Gm05:38044097-38044261(-)	Gma-MIR15223d|PmiREN0012820|Gm05:38044097-38044261(-)	Chr05	minus	41027900	41028023	41027900	41028023	124	1.0000
Gma-MIR13808f|PmiREN0012086|Gm07:10093224-10093361(+)	Gma-MIR15223e|PmiREN0012821|Gm07:10093224-10093361(+)	Chr07	plus	10221057	10221153	10221057	10221153	97	1.0000
Gma-MIR13808g|PmiREN0012072|Gm08:283470-283632(-)	Gma-MIR15223f|PmiREN0012827|Gm08:283470-283632(-)	Chr08	minus	300778	300899	300778	300899	122	1.0000
Gma-MIR13808h|PmiREN0012076|Gm08:15003391-15003598(+)	Gma-MIR15223g|PmiREN0012822|Gm08:15003391-15003598(+)	Chr08	plus	15088118	15088284	15088118	15088284	167	1.0000
Gma-MIR13808i|PmiREN0012087|Gm09:40613230-40613387(-)	Gma-MIR15223h|PmiREN0012823|Gm09:40613230-40613387(-)	Chr09	minus	41584656	41584772	41584656	41584772	117	1.0000
Gma-MIR13808j|PmiREN0012090|Gm16:3669355-3669605(+)	Gma-MIR15223j|PmiREN0012825|Gm16:3669339-3669601(+)	Chr16	plus	3622624	3622825	3622624	3622825	202	1.0000
Gma-MIR13808k|PmiREN0012079|Gm19:37300555-37300745(-)	Gma-MIR15223k|PmiREN0012828|Gm19:37300555-37300745(-)	Chr19	minus	38247997	38248146	38247997	38248146	150	1.0000
Gma-MIR13838a|PmiREN0012136|Gm06:49059955-49060080(-)	Gma-MIR15333a|PmiREN0012844|Gm06:49059956-49060079(-)	Chr06	minus	50248353	50248437	50248354	50248436	83	1.0000
Gma-MIR13838b|PmiREN0012128|Gm12:8464038-8464163(+)	Gma-MIR15333b|PmiREN0012845|Gm12:8464039-8464162(+)	Chr12	plus	8548711	8548795	8548712	8548794	83	1.0000
Gma-MIR13848a|PmiREN0012129|Gm04:48937103-48937215(+)	Gma-MIR15291a|PmiREN0012838|Gm04:48937102-48937216(+)	Chr04	plus	51224207	51224278	51224206	51224279	72	1.0000
Gma-MIR13848b|PmiREN0012143|Gm04:48937419-48937538(+)	Gma-MIR15307a|PmiREN0012840|Gm04:48937419-48937538(+)	Chr04	plus	51224523	51224601	51224523	51224601	79	1.0000
Gma-MIR13848c|PmiREN0012144|Gm06:10839763-10839882(-)	Gma-MIR15307b|PmiREN0012841|Gm06:10839763-10839882(-)	Chr06	minus	10905155	10905233	10905155	10905233	79	1.0000
Gma-MIR13848d|PmiREN0012135|Gm06:10840086-10840198(-)	Gma-MIR15291b|PmiREN0012839|Gm06:10840085-10840199(-)	Chr06	minus	10905478	10905549	10905477	10905550	72	1.0000
Gma-MIR13868|PmiREN0012316|Gm04:35834484-35834593(-)	Gma-MIR15353|PmiREN0012849|Gm04:35834484-35834593(-)	Chr04	minus	37996622	37996690	37996622	37996690	69	1.0000
Gma-MIR13906|PmiREN0012173|Gm13:27682471-27682577(-)	Gma-MIR15457|PmiREN0012850|Gm13:27682471-27682577(-)	Chr13	minus	29439235	29439300	29439235	29439300	66	1.0000
Gma-MIR13907a|PmiREN0012168|Gm04:48297713-48297929(+)	Gma-MIR15458a|PmiREN0012851|Gm04:48297713-48297929(+)	Chr04	plus	50568126	50568301	50568126	50568301	176	1.0000
Gma-MIR13907b|PmiREN0012174|Gm06:11415444-11415666(-)	Gma-MIR15458b|PmiREN0012852|Gm06:11415444-11415666(-)	Chr06	minus	11485545	11485726	11485545	11485726	182	1.0000
Gma-MIR13907c|PmiREN0012163|Gm15:41723279-41723493(-)	Gma-MIR15458c|PmiREN0012853|Gm15:41723279-41723493(-)	Chr15	minus	43235534	43235707	43235534	43235707	174	1.0000
Gma-MIR14004|PmiREN0012370|Gm20:36741630-36741779(+)	Gma-MIR319f|PmiREN0012542|Gm20:36741581-36741822(+)	Chr20	plus	41018550	41018658	41018501	41018701	109	1.0000
Gma-MIR14014|PmiREN0012270|Gm18:57637478-57637605(+)	Gma-MIR15629|PmiREN0012860|Gm18:57637477-57637604(+)	Chr18	plus	60006824	60006910	60006824	60006910	87	1.0000
Gma-MIR14015a|PmiREN0012764|Gm14:3174643-3174751(+)	Gma-MIR14015b|PmiREN0012765|Gm14:3259218-3259323(+)	Chr14	plus	3209160	3209224	3209160	3209224	65	1.0000
Gma-MIR14086|PmiREN0012766|Gm02:49522596-49522721(-)	Gma-MIR156f|PmiREN0012016|Gm02:49522595-49522722(-)	Chr02	minus	51285271	51285355	51285270	51285356	85	1.0000
Gma-MIR14096|PmiREN0012767|Gm05:3628156-3628415(-)	Gma-MIR5776|PmiREN0012426|Gm05:3628167-3628415(-)	Chr05	minus	3452185	3452403	3452185	3452403	219	1.0000
Gma-MIR14155|PmiREN0012429|Gm13:35561774-35561986(-)	Gma-MIR15835|PmiREN0012866|Gm13:35561774-35561986(-)	Chr13	minus	37256879	37257050	37256879	37257050	172	1.0000
Gma-MIR14234|PmiREN0012771|Gm16:4657566-4657745(+)	Gma-MIR9740a|PmiREN0012453|Gm16:4657566-4657745(+)	Chr16	plus	4602448	4602586	4602448	4602586	139	1.0000
Gma-MIR14242|PmiREN0012113|Gm15:14161005-14161150(+)	Gma-MIR15949|PmiREN0012875|Gm15:14161005-14161150(+)	Chr15	plus	14371589	14371693	14371589	14371693	105	1.0000
Gma-MIR14249a|PmiREN0012114|Gm13:20523316-20523437(+)	Gma-MIR15960a|PmiREN0012877|Gm13:20523316-20523437(+)	Chr13	plus	22275070	22275150	22275070	22275150	81	1.0000
Gma-MIR14249c|PmiREN0012117|Gm17:4589405-4589530(-)	Gma-MIR15960b|PmiREN0012878|Gm17:4589405-4589530(-)	Chr17	minus	4630151	4630235	4630151	4630235	85	1.0000
Gma-MIR14847|PmiREN0012788|Gm16:32555292-32555492(+)	Gma-MIR9738|PmiREN0012451|Gm16:32555304-32555477(+)	Chr16	plus	32983165	32983324	32983167	32983322	156	1.0000
Gma-MIR15085d|PmiREN0012797|Gm19:7560614-7560742(+)	Gma-MIR15085e|PmiREN0012798|Gm19:7648646-7648774(+)	Chr19	plus	7560924	7561011	7560924	7561011	88	1.0000
Gma-MIR1508a|PmiREN0012290|Gm16:33551799-33551912(+)	Gma-MIRN15371|PmiREN0012994|Gm16:33551799-33551912(+)	Chr16	plus	34124745	34124817	34124745	34124817	73	1.0000
Gma-MIR1510a|PmiREN0012294|Gm16:32080487-32080597(+)	Gma-MIR15137b|PmiREN0012802|Gm16:32080487-32080597(+)	Chr16	plus	32507572	32507641	32507572	32507641	70	1.0000
Gma-MIR1510b|PmiREN0012295|Gm02:6646478-6646588(+)	Gma-MIR15137a|PmiREN0012801|Gm02:6646478-6646588(+)	Chr02	plus	6672228	6672297	6672228	6672297	70	1.0000
Gma-MIR15188|PmiREN0012809|Gm06:49685215-49685308(+)	Gma-MIR159d|PmiREN0012042|Gm06:49685215-49685308(+)	Chr06	plus	50845656	50845708	50845656	50845708	53	1.0000
Gma-MIR15219a|PmiREN0012816|Gm06:45271265-45271434(-)	Gma-MIR15223b|PmiREN0012818|Gm04:32701005-32701165(+)	Chr04	plus	34783961	34784084	34783963	34784082	120	1.0000
Gma-MIR15219b|PmiREN0012815|Gm16:1923353-1923498(-)	Gma-MIR166a|PmiREN0012071|Gm16:1923353-1923498(-)	Chr16	minus	1889690	1889794	1889690	1889794	105	1.0000
Gma-MIR15225a|PmiREN0012829|Gm02:14971745-14971866(+)	Gma-MIR166i|PmiREN0012077|Gm02:14971743-14971868(+)	Chr02	plus	14557816	14557896	14557814	14557898	81	1.0000
Gma-MIR15225b|PmiREN0012830|Gm03:38677802-38677941(-)	Gma-MIR166p|PmiREN0012084|Gm03:38677800-38677943(-)	Chr03	minus	39381181	39381279	39381179	39381281	99	1.0000
Gma-MIR15225c|PmiREN0012831|Gm07:4478271-4478412(-)	Gma-MIR166c|PmiREN0012073|Gm07:4478269-4478414(-)	Chr07	minus	4512340	4512440	4512338	4512442	101	1.0000
Gma-MIR15225d|PmiREN0012832|Gm10:2902319-2902440(-)	Gma-MIR166g|PmiREN0012075|Gm10:2902317-2902442(-)	Chr10	minus	3062394	3062474	3062392	3062476	81	1.0000
Gma-MIR15280|PmiREN0012833|Gm01:51089057-51089187(-)	Gma-MIR171d|PmiREN0012131|Gm01:51089057-51089187(-)	Chr01	minus	52439936	52440025	52439936	52440025	90	1.0000
Gma-MIR15290a|PmiREN0012835|Gm06:49104105-49104227(-)	Gma-MIR171t|PmiREN0012145|Gm06:49104105-49104227(-)	Chr06	minus	50292501	50292582	50292501	50292582	82	1.0000
Gma-MIR15290b|PmiREN0012834|Gm12:8417935-8418058(+)	Gma-MIR171m|PmiREN0012138|Gm12:8417935-8418058(+)	Chr12	plus	8508018	8508100	8508018	8508100	83	1.0000
Gma-MIR15290c|PmiREN0012836|Gm12:36917593-36917717(+)	Gma-MIR171n|PmiREN0012139|Gm12:36917593-36917717(+)	Chr12	plus	39752683	39752766	39752683	39752766	84	1.0000
Gma-MIR15290d|PmiREN0012837|Gm13:39876063-39876187(-)	Gma-MIR171p|PmiREN0012141|Gm13:39876063-39876187(-)	Chr13	minus	41705261	41705344	41705261	41705344	84	1.0000
Gma-MIR15342a|PmiREN0012846|Gm11:36357261-36357413(-)	Gma-MIR172e|PmiREN0012152|Gm11:36357261-36357413(-)	Chr11	minus	37450832	37450943	37450832	37450943	112	1.0000
Gma-MIR15342b|PmiREN0012847|Gm14:5555960-5556109(+)	Gma-MIR172d|PmiREN0012151|Gm14:5555960-5556109(+)	Chr14	plus	5553139	5553247	5553139	5553247	109	1.0000
Gma-MIR15342c|PmiREN0012848|Gm18:2968116-2968268(+)	Gma-MIR172c|PmiREN0012150|Gm18:2968116-2968268(+)	Chr18	plus	3075641	3075752	3075641	3075752	112	1.0000
Gma-MIR1535|PmiREN0012315|Gm19:44432384-44432502(+)	Gma-MIRN15356|PmiREN0012990|Gm19:44432384-44432502(+)	Chr19	plus	45402922	45402999	45402922	45402999	78	1.0000
Gma-MIR15536a|PmiREN0012855|Gm08:40857537-40857677(-)	Gma-MIR395f|PmiREN0012207|Gm08:40857537-40857677(-)	Chr08	minus	43503625	43503724	43503625	43503724	100	1.0000
Gma-MIR15536b|PmiREN0012854|Gm08:40863912-40864057(-)	Gma-MIR395g|PmiREN0012208|Gm08:40863912-40864057(-)	Chr08	minus	43509993	43510097	43509993	43510097	105	1.0000
Gma-MIR15565|PmiREN0012856|Gm16:31723772-31723923(-)	Gma-MIR396j|PmiREN0012234|Gm16:31723772-31723923(-)	Chr16	minus	32126648	32126758	32126648	32126758	111	1.0000
Gma-MIR15630a|PmiREN0012861|Gm08:47059045-47059166(+)	Gma-MIR5037b|PmiREN0012383|Gm08:47059047-47059164(+)	Chr08	plus	49747274	49747354	49747276	49747352	77	1.0000
Gma-MIR15683|PmiREN0012863|Gm02:7829824-7829937(+)	Gma-MIR482a|PmiREN0012271|Gm02:7829824-7829937(+)	Chr02	plus	7881450	7881522	7881450	7881522	73	1.0000
Gma-MIR15738a|PmiREN0012864|Gm08:47064743-47064861(+)	Gma-MIR5037a|PmiREN0012382|Gm08:47064743-47064861(+)	Chr08	plus	49752936	49753013	49752936	49753013	78	1.0000
Gma-MIR15738b|PmiREN0012865|Gm18:57630200-57630315(-)	Gma-MIR5044|PmiREN0012388|Gm18:57630200-57630315(-)	Chr18	minus	59999553	59999627	59999553	59999627	75	1.0000
Gma-MIR15936a|PmiREN0012867|Gm09:5299666-5299780(+)	Gma-MIR169y|PmiREN0012124|Gm09:5299668-5299778(+)	Chr09	plus	5304410	5304483	5304412	5304481	70	1.0000
Gma-MIR15936b|PmiREN0012868|Gm15:14181894-14181996(+)	Gma-MIR169d|PmiREN0012103|Gm15:14181896-14181994(+)	Chr15	plus	14391901	14391962	14391903	14391960	58	1.0000
Gma-MIR15936c|PmiREN0012869|Gm15:14199384-14199498(+)	Gma-MIR169z|PmiREN0012125|Gm15:14199386-14199496(+)	Chr15	plus	14409508	14409581	14409510	14409579	70	1.0000
Gma-MIR15936d|PmiREN0012870|Gm15:14202059-14202179(+)	Gma-MIR169aa|PmiREN0012126|Gm15:14202061-14202177(+)	Chr15	plus	14412183	14412262	14412185	14412260	76	1.0000
Gma-MIR15936e|PmiREN0012871|Gm15:14204999-14205101(+)	Gma-MIR169e|PmiREN0012104|Gm15:14205001-14205099(+)	Chr15	plus	14415105	14415166	14415107	14415164	58	1.0000
Gma-MIR15959|PmiREN0012876|Gm09:5278406-5278533(+)	Gma-MIR169k|PmiREN0012110|Gm09:5278406-5278533(+)	Chr09	plus	5283237	5283323	5283237	5283323	87	1.0000
Gma-MIR169c|PmiREN0012102|Gm09:5309502-5309640(+)	Gma-MIRN276|PmiREN0013167|Gm09:5309502-5309640(+)	Chr09	plus	5314424	5314521	5314424	5314521	98	1.0000
Gma-MIR169h|PmiREN0012107|Gm09:5296531-5296641(+)	Gma-MIRN6736|PmiREN0013345|Gm09:5296519-5296653(+)	Chr09	plus	5301281	5301350	5301269	5301362	70	1.0000
